Rk,Year,Tm,Lg,Wtm,Ltm,tmW-L%,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary
92,2019,SFG,NL,77,85,.475,1469.1,162,162,773,4.74,4.86,0.22,-0.01,95.8,4.43,-46,-3.9,1.25,0.0,9.3,87,.495,.495,$93599583
93,2018,NYM,NL,77,85,.475,1460.2,162,162,707,4.36,4.41,-0.52,0.01,91.6,4.53,27,5.2,1.13,-1.6,16.6,153,.508,.508,$53627275
94,2017,MIA,NL,77,85,.475,1442.2,162,162,822,5.13,4.68,0.08,-0.02,91.4,4.18,-157,-14.7,1.05,-1.6,-3.2,-19,.480,.480,$61406100
95,2017,TOR,AL,76,86,.469,1465.0,162,162,784,4.82,4.85,-0.05,-0.01,102.2,4.99,15,2.6,1.17,-1.5,15.7,179,.504,.504,$54412967
96,2015,CHW,AL,76,86,.469,1452.2,162,162,701,4.34,4.37,-0.06,0.02,97.9,4.36,-14,-1.0,1.16,-0.9,12.5,139,.498,.498,$78583700
97,2015,SEA,AL,76,86,.469,1463.0,162,162,726,4.47,4.43,-0.36,-0.01,95.2,4.54,-4,0.1,1.27,-1.3,13.4,151,.500,.500,$50837900
98,2019,CIN,NL,75,87,.463,1438.0,162,162,711,4.45,4.87,0.22,0.01,102.1,4.75,51,6.0,1.22,-1.5,17.4,182,.509,.509,$49726785
99,2017,BAL,AL,75,87,.463,1441.0,162,162,841,5.25,4.74,-0.16,-0.01,99.6,4.87,-74,-6.2,1.01,-0.7,7.4,87,.491,.491,$58996500
100,2017,OAK,AL,75,87,.463,1431.0,162,162,826,5.19,4.85,-0.28,0.00,94.3,4.83,-70,-6.1,1.09,-0.5,7.6,90,.491,.491,$20017500
101,2017,PIT,NL,75,87,.463,1440.2,162,162,731,4.57,4.70,0.00,0.00,98.7,4.64,7,1.4,1.06,-1.2,13.2,145,.502,.502,$36295500
102,2016,COL,NL,75,87,.463,1429.2,162,162,860,5.42,4.50,0.08,0.00,116.0,5.13,-37,-2.9,1.01,-1.1,8.8,82,.496,.496,$39801000
103,2015,DET,AL,74,87,.460,1447.0,161,161,803,4.99,4.34,0.02,0.00,99.8,4.31,-126,-11.8,1.06,-0.9,1.6,28,.482,.482,$92365000
104,2016,LAA,AL,74,88,.457,1421.1,162,162,727,4.60,4.61,0.17,-0.01,94.6,4.19,-78,-7.0,1.00,-1.6,5.6,75,.490,.490,$53649500
105,2015,SDP,NL,74,88,.457,1440.1,162,162,731,4.57,4.22,-0.09,0.00,96.2,4.15,-58,-5.1,1.02,-0.1,7.7,53,.492,.492,$55561100
106,2018,SFG,NL,73,89,.451,1461.1,162,162,699,4.30,4.40,0.10,0.00,96.5,4.15,-25,-1.8,1.24,-0.9,10.3,100,.497,.497,$92394333
107,2018,TOR,AL,73,89,.451,1433.2,162,162,832,5.22,4.67,-0.53,-0.01,97.2,5.05,-40,-3.7,.99,-1.1,9.5,116,.495,.495,$65448800
108,2016,MIL,NL,73,89,.451,1434.2,162,162,733,4.60,4.56,0.04,-0.01,101.9,4.60,9,1.8,1.09,-0.5,14.2,128,.503,.503,$22832900
109,2019,CHW,AL,72,89,.447,1413.0,161,161,832,5.30,4.86,-0.37,0.01,99.9,5.23,-25,-1.4,1.00,-0.7,11.8,143,.498,.498,$38565000
110,2019,LAA,AL,72,90,.444,1442.2,162,162,868,5.41,5.09,-0.01,-0.03,97.9,4.97,-86,-7.5,1.03,-1.6,5.2,85,.490,.490,$48021250
111,2017,ATL,NL,72,90,.444,1441.1,162,162,821,5.13,4.76,-0.19,0.01,99.1,4.91,-41,-3.1,1.03,-1.0,8.9,97,.496,.496,$50545250
112,2019,COL,NL,71,91,.438,1448.2,162,162,958,5.95,4.95,-0.08,-0.01,116.9,5.86,-10,0.0,1.04,-1.3,11.7,121,.500,.500,$75201500
113,2017,SDP,NL,71,91,.438,1430.1,162,162,816,5.13,4.68,-0.02,0.00,98.8,4.63,-85,-7.3,1.08,-0.1,5.5,52,.489,.489,$22965700
114,2016,PHI,NL,71,91,.438,1437.0,162,162,796,4.99,4.45,-0.18,0.00,99.5,4.61,-52,-4.6,1.12,-1.3,6.9,67,.493,.493,$25916500
115,2015,MIA,NL,71,91,.438,1427.0,162,162,678,4.28,4.18,0.21,0.00,96.6,3.83,-62,-6.1,1.13,-1.0,5.8,48,.491,.491,$40835000
116,2019,SDP,NL,70,92,.432,1432.1,162,162,789,4.96,4.84,0.20,-0.02,97.0,4.48,-73,-6.6,1.19,-0.3,6.0,57,.491,.491,$26913700
117,2017,NYM,NL,70,92,.432,1434.2,162,162,863,5.41,4.74,-0.38,-0.01,94.3,4.82,-100,-9.1,1.10,-0.9,3.0,37,.488,.488,$39459150
118,2019,PIT,NL,69,93,.426,1440.0,162,162,911,5.69,4.73,-0.41,-0.02,97.7,5.00,-106,-9.7,.99,0.1,3.4,24,.486,.486,$24293667
119,2016,ARI,NL,69,93,.426,1451.1,162,162,890,5.52,4.52,-0.11,-0.01,107.8,4.99,-78,-7.5,1.11,-1.1,4.4,43,.490,.490,$51074300
120,2016,OAK,AL,69,93,.426,1433.2,162,162,761,4.78,4.65,-0.49,-0.01,96.3,4.94,13,2.7,1.07,-0.9,16.1,167,.504,.504,$16890067
121,2016,ATL,NL,68,93,.422,1447.2,161,161,779,4.84,4.44,-0.13,-0.01,99.0,4.51,-45,-3.5,1.15,-1.2,8.3,76,.495,.495,$14107750
122,2019,SEA,AL,68,94,.420,1439.1,162,162,893,5.58,4.99,-0.53,0.01,94.1,5.20,-75,-6.5,1.06,-0.5,7.3,95,.491,.491,$72528000
123,2017,CIN,NL,68,94,.420,1430.0,162,162,869,5.47,4.67,0.13,-0.02,102.9,4.64,-137,-12.3,.85,-0.7,-0.1,0,.482,.482,$36483286
124,2016,CIN,NL,68,94,.420,1442.0,162,162,854,5.33,4.52,-0.14,-0.01,102.0,4.74,-86,-6.5,1.00,-0.9,5.6,34,.490,.490,$31689561
125,2016,SDP,NL,68,94,.420,1440.0,162,162,770,4.81,4.51,-0.08,-0.01,96.0,4.40,-58,-4.8,1.06,-1.3,6.9,62,.493,.493,$24321500
126,2016,TBR,AL,68,94,.420,1426.1,162,162,713,4.50,4.61,0.07,0.00,96.5,4.38,-31,-2.7,1.09,-0.9,10.6,123,.496,.496,$19103191
127,2015,COL,NL,68,94,.420,1426.0,162,162,844,5.33,4.24,-0.13,-0.02,116.9,5.09,-28,-2.1,1.06,-1.3,9.5,81,.497,.497,$34316000
128,2015,MIL,NL,68,94,.420,1435.0,162,162,737,4.62,4.15,-0.02,-0.01,101.1,4.21,-57,-5.3,.92,-1.4,6.2,53,.492,.492,$35176000
129,2015,OAK,AL,68,94,.420,1445.0,162,162,729,4.54,4.40,-0.01,0.00,96.4,4.25,-63,-5.5,1.02,-0.9,8.0,90,.492,.492,$31980001
130,2019,TOR,AL,67,95,.414,1440.2,162,162,828,5.17,5.03,-0.16,-0.03,98.2,5.07,-31,-1.6,1.00,-1.1,11.7,140,.498,.498,$38849100
131,2018,CIN,NL,67,95,.414,1440.2,162,162,819,5.12,4.44,-0.04,-0.01,104.2,4.66,-70,-6.2,1.03,-0.4,6.3,54,.491,.491,$48179286
132,2018,TEX,AL,67,95,.414,1431.0,162,162,848,5.33,4.77,-0.03,0.00,111.4,5.35,-9,-0.3,1.07,-1.1,12.9,147,.500,.500,$39285234
133,2017,CHW,AL,67,95,.414,1421.2,162,162,820,5.19,4.81,-0.08,0.00,99.7,4.87,-63,-5.3,1.01,-0.4,8.4,96,.492,.492,$49845000
134,2015,ATL,NL,67,95,.414,1425.1,162,162,760,4.80,4.27,-0.13,0.00,97.9,4.32,-67,-6.3,1.23,-0.6,5.9,42,.491,.491,$24943750
135,2018,SDP,NL,66,96,.407,1457.0,162,162,767,4.74,4.32,0.26,-0.02,96.2,3.89,-138,-13.2,1.11,-0.7,-0.9,-13,.481,.481,$29026700
136,2017,PHI,NL,66,96,.407,1441.0,162,162,782,4.88,4.78,-0.32,0.00,98.6,5.03,18,2.7,1.05,-1.2,14.5,156,.504,.504,$55714500
137,2018,DET,AL,64,98,.395,1425.0,162,162,796,5.03,4.57,-0.10,-0.01,102.1,4.77,-53,-4.4,1.13,-1.1,8.7,102,.494,.494,$43673000
138,2017,DET,AL,64,98,.395,1420.1,162,162,894,5.66,4.79,-0.35,0.00,102.9,5.30,-70,-5.9,1.00,-0.2,8.0,89,.491,.491,$49563600
139,2017,SFG,NL,64,98,.395,1452.0,162,162,776,4.81,4.69,-0.30,0.02,99.5,4.98,23,2.8,1.14,-1.6,14.3,161,.504,.504,$98839833
140,2015,CIN,NL,64,98,.395,1453.1,162,162,754,4.67,4.16,-0.03,-0.01,100.8,4.21,-64,-5.6,1.08,-1.1,6.4,48,.492,.492,$50967286
141,2018,MIA,NL,63,98,.391,1442.0,161,161,809,5.05,4.45,0.15,-0.01,90.0,3.86,-192,-19.4,1.03,-0.7,-7.3,-68,.473,.473,$42218000
142,2015,PHI,NL,63,99,.389,1436.1,162,162,809,5.07,4.20,-0.42,-0.01,98.0,4.52,-79,-6.7,.92,-0.9,5.4,31,.490,.490,$14579000
143,2018,CHW,AL,62,100,.383,1437.0,162,162,848,5.29,4.51,-0.34,0.01,98.5,4.79,-92,-8.5,1.11,-1.5,4.3,65,.488,.488,$41397000
144,2019,KCR,AL,59,103,.364,1425.0,162,162,869,5.49,4.92,0.03,0.01,102.3,5.02,-88,-7.9,1.10,-0.8,5.5,81,.489,.489,$68348225
145,2016,MIN,AL,59,103,.364,1443.0,162,162,889,5.54,4.53,-0.41,-0.02,100.7,4.95,-108,-10.1,1.06,-1.3,3.1,48,.486,.486,$48130000
146,2018,KCR,AL,58,104,.358,1432.0,162,162,833,5.24,4.56,0.08,0.01,100.1,4.49,-131,-12.3,1.12,-0.7,1.1,25,.481,.481,$51422000
147,2019,MIA,NL,57,105,.352,1444.1,162,162,808,5.03,4.85,-0.06,0.01,96.1,4.72,-47,-4.3,1.05,-1.4,7.2,83,.494,.494,$31866500
148,2019,BAL,AL,54,108,.333,1442.2,162,162,981,6.12,5.08,-0.43,-0.01,102.3,5.62,-93,-7.3,1.05,-0.6,6.4,78,.489,.489,$58756000
149,2019,DET,AL,47,114,.292,1433.0,161,161,915,5.75,5.03,-0.47,-0.02,103.9,5.70,-22,-1.2,1.06,-0.9,12.2,148,.498,.498,$46369200
150,2018,BAL,AL,47,115,.290,1431.0,162,162,892,5.61,4.74,-0.60,0.00,97.1,5.19,-79,-7.1,1.01,-0.6,6.5,77,.489,.489,$52424000
