,WAR,Age,Games,pitcher,start_ratio
31,"[1.4, 1.2, 0.8, 5.7, 3.7, 0.5, 5.1, 0.6, 0.9, 0.5, 0.6]","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33']","[63.0, 126.0, 93.0, 140.0, 157.0, 109.0, 161.0, 152.0, 144.0, 105.0, 108.0]",False,
32,"[1.4, 1.9, 5.0, -0.1, 1.0, -0.30000000000000004]","['21', '22', '23', '24', '25', '26']","[24.0, 41.0, 30.0, 8.0, 20.0, 27.0]",True,0.64
33,"[3.1, 3.5, 0.7, 0.9, 0.3, 3.0, 3.6, 2.4, 2.6, 0.0, -0.6, 0.2, -0.3, 1.0, -0.3]","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37']","[18.0, 22.0, 6.0, 29.0, 33.0, 33.0, 33.0, 34.0, 34.0, 26.0, 25.0, 28.0, 21.0, 28.0, 34.0]",True,0.8712871287128713
34,"[-0.2, -0.1, 0.0]","['24', '25', '26']","[4.0, 4.0, 1.0]",True,0.5555555555555556
35,"[0.0, 0.1, -0.4, 1.2, -0.6000000000000001, 0.0, -0.6, 2.7, -0.8]","['22', '23', '24', '25', '26', '30', '32', '33', '34']","[1.0, 7.0, 12.0, 71.0, 47.0, 1.0, 7.0, 15.0, 11.0]",True,0.0872093023255814
36,"[0.1, -0.4, -0.1]","['28', '29', '30']","[3.0, 3.0, 8.0]",True,0.21428571428571427
37,"[0.1, 0.0]","['23', '24']","[6.0, 4.0]",False,
38,"[0.2, 0.7, 0.8, 0.6, 0.0, -0.7, 0.6]","['24', '25', '26', '27', '28', '29', '30']","[25.0, 59.0, 82.0, 67.0, 69.0, 50.0, 17.0]",False,
39,"[0.2, -0.2, -0.1, -0.3, 0.9, 1.1, 0.0, -0.6, 2.3, -1.7, -0.8, -0.1]","['21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32']","[19.0, 24.0, 90.0, 40.0, 115.0, 112.0, 118.0, 112.0, 139.0, 123.0, 136.0, 2.0]",False,
40,[0.2],['22'],[25.0],False,
41,"[0.0, 0.9, 1.0, -0.6]","['23', '24', '25', '26']","[1.0, 21.0, 5.0, 35.0]",True,0.4032258064516129
42,"[0.5, -0.3, -0.7999999999999999, -0.5, 0.19999999999999998, -0.9, 0.29999999999999993]","['23', '24', '25', '26', '27', '28', '29']","[12.0, 5.0, 28.0, 49.0, 16.0, 36.0, 4.0]",True,0.24666666666666667
43,"[0.7000000000000001, 0.0]","['27', '28']","[70.0, 68.0]",True,0.0
44,"[0.7, 1.6, -1.4, -0.1, -1.2]","['25', '26', '27', '28', '29']","[15.0, 25.0, 22.0, 52.0, 60.0]",True,0.3218390804597701
45,"[2.2, 2.4, 1.7, 4.7, 2.9, 0.4, 1.4, 0.7000000000000001, -0.4, 2.5, -2.9, 1.6, 0.2, 0.7]","['21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34']","[66.0, 158.0, 116.0, 161.0, 160.0, 160.0, 152.0, 158.0, 159.0, 158.0, 122.0, 151.0, 149.0, 131.0]",False,
46,"[-0.4, 0.1, 3.3, 2.1, 0.8999999999999999, 0.6]","['25', '26', '27', '28', '29', '30']","[28.0, 27.0, 150.0, 157.0, 138.0, 41.0]",False,
47,"[3.0, 1.0, 0.1, 1.6, 0.7999999999999999, 0.6, 0.4, -1.3, -0.7, -0.8]","['22', '23', '24', '25', '26', '27', '28', '29', '30', '31']","[22.0, 17.0, 6.0, 31.0, 33.0, 24.0, 13.0, 30.0, 21.0, 12.0]",True,0.9617224880382775
48,"[-0.7, 0.8, 0.6]","['25', '26', '27']","[97.0, 143.0, 89.0]",False,
49,"[-0.1, -0.5, 2.3, 3.2, 2.9, 3.5, 1.1, 0.2, 0.7, -0.5, -0.2]","['24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34']","[9.0, 40.0, 128.0, 104.0, 152.0, 150.0, 66.0, 48.0, 118.0, 31.0, 34.0]",False,
50,"[0.4, 1.1, 2.6, 2.0]","['24', '25', '26', '27']","[66.0, 121.0, 113.0, 152.0]",False,
51,[1.8],['23'],[67.0],False,
52,"[0.1, -0.3, 0.3, -0.2, 0.2, -0.2, -0.1]","['28', '29', '30', '31', '32', '33', '34']","[12.0, 51.0, 59.0, 51.0, 17.0, 29.0, 2.0]",False,
53,"[0.0, 0.9, 2.0, 2.6, 2.5, 3.3, 4.1, 4.8, 4.8, 3.5, 1.7, 2.6, 0.3, -0.6]","['20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33']","[32.0, 41.0, 132.0, 119.0, 149.0, 151.0, 162.0, 160.0, 159.0, 137.0, 152.0, 147.0, 145.0, 137.0]",False,
54,"[-0.5, 0.6, 1.6, 4.5, 3.5, 3.3, 3.9, 0.9, -1.4, 2.5, 1.1, 0.6, 0.0, 0.3]","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36']","[33.0, 156.0, 137.0, 144.0, 143.0, 144.0, 129.0, 139.0, 87.0, 115.0, 129.0, 135.0, 114.0, 86.0]",False,
55,"[-0.2, 0.1, 0.8]","['28', '29', '30']","[12.0, 31.0, 80.0]",True,0.0
56,"[1.1, -0.8, 1.6, 1.5, 1.3, 2.2, 1.1, -0.2, 4.2, 0.6, 2.4, -0.7]","['24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35']","[110.0, 141.0, 149.0, 152.0, 136.0, 150.0, 151.0, 43.0, 154.0, 152.0, 140.0, 127.0]",False,
57,"[0.1, 0.7, 0.1, 0.3]","['28', '29', '30', '31']","[39.0, 58.0, 4.0, 17.0]",True,0.0
58,"[0.5, 0.2, 0.2, 3.9, -1.0, 0.1, 0.3, 2.0, 2.2, 3.6, -0.3, 0.8]","['22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33']","[18.0, 89.0, 88.0, 151.0, 150.0, 125.0, 93.0, 143.0, 96.0, 149.0, 126.0, 116.0]",False,
59,"[0.0, -0.2, 0.0, 0.0]","['22', '27', '31', '32']","[1.0, 14.0, 19.0, 6.0]",False,
60,"[-0.1, -1.0, 0.7, 1.0, 0.4, -0.1, -0.1, -0.1]","['28', '29', '31', '32', '33', '34', '35', '36']","[24.0, 40.0, 40.0, 69.0, 39.0, 49.0, 35.0, 15.0]",False,
61,"[0.1, -0.5, 0.0, 0.0, 0.1, -0.1, 0.0, -0.1, 0.0]","['25', '26', '27', '28', '29', '30', '31', '32', '34']","[6.0, 60.0, 2.0, 4.0, 5.0, 9.0, 1.0, 9.0, 8.0]",False,
62,"[0.7, -1.1, 0.7999999999999999, 0.7, 0.4]","['25', '26', '27', '28', '29']","[15.0, 23.0, 37.0, 67.0, 40.0]",True,0.1978021978021978
63,"[-0.7, 1.0, 2.3, 1.3, 0.8, 1.0, 0.3, 2.5, 2.3]","['24', '26', '27', '28', '29', '30', '31', '32', '33']","[5.0, 53.0, 51.0, 75.0, 10.0, 34.0, 63.0, 75.0, 73.0]",True,0.00683371298405467
64,"[0.8, -0.6, 0.1, -0.4]","['24', '25', '26', '27']","[60.0, 36.0, 55.0, 61.0]",False,
65,"[0.0, 0.1, 0.3]","['24', '26', '27']","[2.0, 17.0, 21.0]",True,0.8
66,"[-0.2, -0.4, 1.7, -0.7, 0.8, 0.0, 0.8, -0.1, 2.3, -0.5, 0.0]","['25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35']","[18.0, 87.0, 80.0, 24.0, 42.0, 68.0, 56.0, 53.0, 105.0, 105.0, 13.0]",False,
67,"[0.1, 0.0, 0.0, 0.2]","['25', '26', '27', '28']","[22.0, 15.0, 12.0, 36.0]",True,0.0
68,[-0.1],['27'],[6.0],False,
69,"[-0.2, -0.1, 0.0, -0.2]","['25', '26', '27', '30']","[36.0, 10.0, 2.0, 6.0]",False,
70,"[-0.1, 1.7, 3.5, 3.0, 6.7, 6.4, 1.0, 6.5, 6.3999999999999995, 0.8, 2.1, 0.8, 0.1, 1.9000000000000001]","['23', '24', '25', '26', '27', '28', '30', '31', '32', '33', '34', '35', '36', '37']","[2.0, 61.0, 32.0, 20.0, 34.0, 33.0, 32.0, 34.0, 32.0, 7.0, 33.0, 24.0, 8.0, 31.0]",True,0.825065274151436
71,"[-0.3, 1.1, 1.4, 2.8, -0.5, 1.4, 1.0, -0.2]","['24', '25', '26', '27', '28', '29', '30', '31']","[1.0, 34.0, 69.0, 43.0, 58.0, 46.0, 47.0, 25.0]",True,0.06501547987616099
72,"[-0.1, -0.3, 0.0, -0.4]","['23', '24', '27', '29']","[5.0, 3.0, 1.0, 4.0]",True,0.38461538461538464
73,[-0.30000000000000004],['24'],[4.0],True,0.5
74,"[0.1, -0.1, 1.1, -0.5, 0.6, 2.7, 2.3, -0.1]","['22', '23', '24', '25', '26', '27', '28', '29']","[6.0, 62.0, 68.0, 62.0, 55.0, 80.0, 77.0, 55.0]",True,0.0
75,"[0.1, 0.0, 0.0, 0.2]","['25', '26', '27', '28']","[22.0, 15.0, 12.0, 36.0]",True,0.0
76,"[0.1, -1.4, 1.2, 2.6, 1.0, 0.7, 0.5, 0.9000000000000001]","['23', '24', '25', '26', '27', '28', '29', '30']","[41.0, 148.0, 146.0, 130.0, 155.0, 97.0, 94.0, 84.0]",False,
77,"[0.3, -0.2, -0.4]","['30', '31', '32']","[58.0, 134.0, 52.0]",False,
78,[0.0],['24'],[1.0],True,0.0
79,"[0.2, 3.9, 3.4, 0.8, 2.0, 3.6, 9.6, 3.2, 5.4, 3.8, 5.6, 3.3, 7.8, 5.6, 7.2, 5.7, 6.2, 4.4, 6.7, 3.8, 1.7]","['19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39']","[77.0, 152.0, 138.0, 126.0, 159.0, 158.0, 156.0, 156.0, 156.0, 149.0, 143.0, 111.0, 154.0, 124.0, 156.0, 161.0, 148.0, 143.0, 153.0, 94.0, 119.0]",False,
80,"[-0.9, 0.3, -0.4, 1.6, -0.1, -0.8, -0.1, -0.1, 0.1]","['23', '24', '25', '26', '27', '28', '29', '30', '32']","[48.0, 41.0, 116.0, 104.0, 8.0, 91.0, 9.0, 5.0, 25.0]",False,
81,"[-0.1, -0.6, 3.0, 2.5, 3.6, 6.9, 4.4, 6.9, 3.7, 3.8, 4.4, 4.6, 1.9, -1.0, -0.3]","['22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36']","[16.0, 43.0, 156.0, 161.0, 162.0, 160.0, 160.0, 159.0, 159.0, 157.0, 159.0, 156.0, 156.0, 71.0, 54.0]",False,
82,"[0.1, 0.1, 1.7999999999999998]","['22', '25', '26']","[2.0, 7.0, 35.0]",True,0.4090909090909091
83,[-0.3],['20'],[5.0],True,0.4
84,"[0.0, 0.2, 1.2000000000000002]","['24', '26', '27']","[1.0, 5.0, 35.0]",True,0.4878048780487805
85,"[0.2, 0.1, -0.1]","['26', '27', '28']","[34.0, 28.0, 28.0]",False,
86,"[-0.2, 0.3, -0.1]","['22', '24', '25']","[1.0, 8.0, 9.0]",True,0.0
87,"[2.2, 3.1, 1.3, -2.0]","['28', '29', '30', '31']","[123.0, 152.0, 69.0, 64.0]",False,
88,"[2.9, 0.4, 2.2, 1.1]","['32', '33', '34', '35']","[73.0, 66.0, 63.0, 34.0]",True,0.0
89,"[1.5, 0.9, 0.2, 1.8, 0.3, -0.1, 0.5]","['25', '26', '27', '28', '29', '30', '31']","[41.0, 8.0, 53.0, 72.0, 67.0, 2.0, 21.0]",True,0.0
90,"[-0.1, 0.8, -0.5, 0.3, -0.2, 0.0, 1.4, 1.4, 5.7, 5.2, 1.0, 6.8, 2.3, 4.3, 2.6, 2.9, 3.0, 4.7, -1.2000000000000002]","['21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39']","[4.0, 14.0, 5.0, 4.0, 3.0, 1.0, 34.0, 20.0, 28.0, 33.0, 27.0, 28.0, 32.0, 31.0, 29.0, 33.0, 30.0, 30.0, 33.0]",True,0.9116945107398569
91,"[-0.2, -0.4, 0.5, 1.1, 1.4, 2.3, -0.3, 1.4, 0.5, -0.4]","['28', '29', '30', '31', '32', '33', '34', '35', '36', '37']","[16.0, 25.0, 30.0, 50.0, 51.0, 64.0, 52.0, 54.0, 65.0, 9.0]",True,0.016826923076923076
92,"[-0.1, -0.3, -0.2]","['24', '26', '27']","[4.0, 7.0, 6.0]",False,
93,"[1.2, -0.1, -0.1, 0.5, 0.7, 0.09999999999999998, 0.2, 0.4, 0.3, 0.6, 2.0, 0.3, 0.1]","['25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '37', '38']","[27.0, 5.0, 19.0, 50.0, 53.0, 19.0, 19.0, 15.0, 13.0, 12.0, 65.0, 61.0, 26.0]",True,0.005208333333333333
94,"[-0.6, -1.0, 3.6, 0.1, -0.30000000000000004, -0.3, 0.1, -0.29999999999999993]","['23', '24', '25', '27', '28', '29', '30', '31']","[3.0, 34.0, 23.0, 2.0, 30.0, 9.0, 7.0, 7.0]",True,0.6086956521739131
95,"[-0.3, -0.2, -0.5, 1.2, -0.4, 1.4, 0.0, -1.2, 1.9000000000000001, 1.0, 0.5, -1.4, 0.6, 0.7, -0.6, -0.4]","['22', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39']","[4.0, 23.0, 24.0, 66.0, 55.0, 68.0, 63.0, 61.0, 68.0, 65.0, 71.0, 67.0, 73.0, 68.0, 70.0, 36.0]",True,0.0045351473922902496
96,"[0.1, 0.0, 2.6, 2.0, 0.1, -0.6, 0.9, -0.2, 1.5, 0.8, -0.09999999999999998, -0.6]","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34']","[36.0, 6.0, 35.0, 45.0, 47.0, 21.0, 49.0, 39.0, 72.0, 68.0, 41.0, 15.0]",True,0.010548523206751054
97,"[0.7, 1.2, 2.0, -1.0]","['22', '23', '24', '25']","[47.0, 132.0, 152.0, 130.0]",False,
98,"[0.0, -0.1, 2.5, 2.0, 4.7, 5.7, 7.0, 5.7, 1.5, 7.1, 3.4, 0.6]","['22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33']","[62.0, 9.0, 123.0, 153.0, 159.0, 106.0, 143.0, 158.0, 161.0, 163.0, 161.0, 141.0]",False,
99,"[6.6, 5.5, 8.7, 8.5, 8.4, 8.5, 8.7, 9.2, 9.7, 7.5, 5.3, 4.8, 1.6, 3.9, 3.0, 1.5, -1.9, 0.8, 0.5]","['21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39']","[161.0, 157.0, 157.0, 154.0, 161.0, 143.0, 158.0, 148.0, 160.0, 159.0, 147.0, 154.0, 99.0, 159.0, 157.0, 152.0, 149.0, 117.0, 131.0]",False,
100,"[-0.1, -1.2, 1.2, 2.5, 1.6, 3.5, 3.4, 0.7, -1.0, -0.8]","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32']","[23.0, 56.0, 74.0, 155.0, 146.0, 141.0, 138.0, 136.0, 127.0, 97.0]",False,
101,"[0.1, 0.0, -0.1, 0.6, 0.8, -0.1, -0.2, -0.4, 0.0, 0.7, 0.5, -0.1]","['25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '37']","[13.0, 6.0, 35.0, 38.0, 93.0, 66.0, 66.0, 15.0, 11.0, 29.0, 35.0, 11.0]",False,
102,"[-0.1, 0.8, 2.2, 2.2, 0.6, 1.3, 0.7, 2.0, 0.1, 1.2, -0.8999999999999999, 1.6, -0.5]","['21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33']","[15.0, 111.0, 147.0, 126.0, 158.0, 38.0, 141.0, 154.0, 142.0, 152.0, 83.0, 109.0, 20.0]",False,
103,"[-0.3, 1.5, 0.8, 1.1, 2.4, 1.7, 0.2, 1.5, 0.4, 0.7, 1.9, 1.3, 0.9, 1.2, 1.6, -0.2, -0.4, 1.1, 0.4]","['19', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38']","[3.0, 128.0, 111.0, 126.0, 126.0, 140.0, 128.0, 128.0, 105.0, 71.0, 131.0, 95.0, 114.0, 103.0, 118.0, 115.0, 91.0, 56.0, 61.0]",False,
104,"[-0.4, 0.6, 1.0, 0.4]","['22', '24', '25', '27']","[18.0, 28.0, 46.0, 33.0]",False,
105,"[-1.0, 0.5, 0.0, 0.1]","['23', '24', '25', '26']","[7.0, 5.0, 24.0, 2.0]",True,0.47368421052631576
106,"[0.1, 0.0, 2.6, 2.0, 0.1, -0.6, 0.9, -0.2, 1.5, 0.8, -0.09999999999999998, -0.6]","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34']","[36.0, 6.0, 35.0, 45.0, 47.0, 21.0, 49.0, 39.0, 72.0, 68.0, 41.0, 15.0]",True,0.010548523206751054
107,"[-0.5, -0.4, 0.0, -0.1, 0.0, -0.6, -0.7, -0.5]","['23', '24', '25', '26', '27', '28', '29', '30']","[22.0, 32.0, 79.0, 103.0, 38.0, 28.0, 34.0, 30.0]",False,
108,[-0.3],['30'],[25.0],False,
109,"[-0.3, -0.4, 0.7, -0.5]","['23', '24', '25', '26']","[27.0, 106.0, 110.0, 18.0]",False,
110,"[0.3, -0.2, -0.3, 0.8, 1.4, -0.2, 0.6, 0.2, -0.6, 0.1, -0.1]","['24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34']","[32.0, 96.0, 59.0, 94.0, 100.0, 74.0, 56.0, 118.0, 70.0, 70.0, 6.0]",False,
111,"[0.6, 0.1, 5.1, 2.2, 0.6, 2.1, 0.0, 1.0, 2.7, 0.0, 1.4]","['22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32']","[29.0, 104.0, 141.0, 116.0, 102.0, 124.0, 67.0, 57.0, 112.0, 80.0, 63.0]",False,
112,"[0.0, 0.1]","['25', '26']","[69.0, 23.0]",False,
113,"[2.0, 4.0, 7.3, 9.1]","['22', '23', '24', '25']","[49.0, 155.0, 157.0, 156.0]",False,
114,"[-0.1, -0.2, 0.6, -0.2]","['22', '23', '24', '25']","[41.0, 66.0, 67.0, 3.0]",True,0.0
115,[0.0],['32'],[1.0],False,
116,"[0.0, -0.2, 2.7, -0.2, -0.2, -1.0, -1.5, -1.2, -0.6]","['22', '23', '24', '25', '26', '27', '28', '29', '30']","[8.0, 38.0, 117.0, 154.0, 122.0, 91.0, 68.0, 61.0, 21.0]",False,
117,"[0.2, 0.3, 1.2, 2.9, 0.8, 0.6]","['22', '23', '24', '25', '26', '27']","[15.0, 18.0, 39.0, 70.0, 66.0, 83.0]",True,0.0
118,"[0.6, 0.8, 3.6999999999999997, 4.1, -0.8, 2.1999999999999997, 1.2, -0.4]","['23', '24', '25', '26', '28', '29', '30', '31']","[9.0, 23.0, 22.0, 27.0, 5.0, 29.0, 28.0, 3.0]",True,1.0
119,"[0.0, 0.7, 0.8, 2.3, 0.7, 1.0999999999999999, 1.1]","['24', '25', '26', '27', '28', '29', '30']","[3.0, 5.0, 43.0, 57.0, 65.0, 70.0, 62.0]",True,0.06229508196721312
120,"[-0.1, -0.5, 0.2, -0.5, 3.0, 0.3, 1.5, 1.6, 0.3, 0.6, 0.8, 0.6, -0.8, -0.1]","['22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35']","[29.0, 11.0, 109.0, 134.0, 115.0, 148.0, 138.0, 96.0, 96.0, 83.0, 75.0, 82.0, 66.0, 91.0]",False,
121,"[-0.1, 1.0, 0.7]","['25', '26', '29']","[11.0, 84.0, 68.0]",False,
122,"[0.8, 0.5, 0.4, 5.4, 3.0, 3.8, 6.4, 4.1, 3.3, 0.7]","['20', '21', '22', '23', '24', '25', '26', '27', '29', '30']","[13.0, 34.0, 29.0, 34.0, 24.0, 30.0, 35.0, 32.0, 24.0, 8.0]",True,0.9923954372623575
123,"[-0.1, 0.8, 2.2, 2.2, 0.6, 1.3, 0.7, 2.0, 0.1, 1.2, -0.8999999999999999, 1.6, -0.5]","['21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33']","[15.0, 111.0, 147.0, 126.0, 158.0, 38.0, 141.0, 154.0, 142.0, 152.0, 83.0, 109.0, 20.0]",False,
124,"[2.0, 2.8, 0.3, -0.5, 7.3, 6.3, 4.1, 6.1, 2.6, 0.7, -0.2, 2.1, 1.5]","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35']","[151.0, 134.0, 49.0, 74.0, 151.0, 161.0, 156.0, 156.0, 104.0, 128.0, 148.0, 141.0, 150.0]",False,
125,"[-0.3, -0.1]","['27', '28']","[11.0, 106.0]",False,
126,"[-0.7, -0.3]","['23', '24']","[20.0, 7.0]",False,
127,"[-0.5, 0.30000000000000004, 2.0999999999999996, 0.6, 0.8, 0.0, 4.2, -0.9999999999999999, 0.0, -0.8999999999999999]","['23', '25', '26', '27', '28', '29', '30', '31', '32', '33']","[8.0, 3.0, 36.0, 37.0, 40.0, 37.0, 36.0, 39.0, 25.0, 42.0]",True,0.6072607260726073
128,"[-0.1, -0.9]","['25', '26']","[2.0, 11.0]",True,0.15384615384615385
129,"[-0.2, -0.1, 1.1]","['25', '26', '27']","[2.0, 7.0, 13.0]",True,0.8636363636363636
130,"[0.0, 2.4, -0.3, -1.8, 2.0, 2.4, 0.5, 1.3]","['23', '24', '25', '26', '27', '28', '29', '30']","[11.0, 82.0, 113.0, 94.0, 119.0, 118.0, 148.0, 122.0]",False,
131,"[-0.2, 1.5, 0.0, 0.0, 0.2, -0.1, -0.9, 0.2]","['24', '25', '26', '27', '28', '29', '30', '31']","[19.0, 52.0, 104.0, 57.0, 89.0, 8.0, 50.0, 71.0]",False,
132,[1.2],['26'],[11.0],True,0.9090909090909091
