Name,Org,Pos,Current Level,Top 100,Org Rk,Trend,FV,ETA,Risk,Age,Ht,Wt,B,T,Sign Yr,Sign Mkt,Sign Org,Bonus,Signed From,Report,Video,playerId
"Codi Heuer","CHW","RHP",,,11,,"40+",2021,,"24.0305555","6' 5""","195","R","R",2018,"Draft","CHW",260000,"Wichita State","Similar to Orioles prospect Zach Pop and the Giants' unkempt sidewinder Camilo Doval, Heuer presents hitters with an odd, low-slot look and also throws very hard for someone with that arm slot. His fastball has impact tailing movement -- among the most lateral movement in the minors -- and he also has a weird, high-spin changeup that could be plus. I think he has a shot to be a set-up type.","VjNkEUlACUY","sa3006764"
"Micker Adolfo","CHW","RF",,,12,,"40+",2020,,"23.8416666","6' 4""","255","R","R",2013,"J2","CHW",1600000,"Dominican Republic","Adolfo has been around for so long that even though he's missed a lot of time due to injury, we still have a pretty good idea of what he is. Here's the rundown: Adolfo missed most of 2015 due to a gruesome leg fracture, broke his hamate a month into 2016, played through an elbow injury that required Tommy John in 2018, then missed most of 2019 due to arthoscopic surgery on that elbow. Amid these long stretches of inactivity, Adolfo got big and buff (he nows tips the scales at a listed 255 -- as a comical aside, Eloy Jiménez is listed at 205) but also pretty stiff, and while the White Sox have maintained that they'd like him to play the outfield, he's one of several heavy-footed DH types on the 40-man. 
Adolfo has the raw power to clear that (or any) offensive bar, but he's had strikeout issues throughout his career and except for the last few, injury-riddled seasons (small sample alert), he's been a hedonistic free swinger. He's run close to an 11% walk rate in his last 550 plate appearances, which is double the rate he posted from 2014 to 2017. It would give him a better chance of playing a consistent role if that increase in patience is real and sustains. The power gives Adolfo a chance to have some 2019 Jorge Soler type seasons while his whiffs make him a high variance hitter likely to have several replacement-level campaigns as well. He's younger than Collins and Mercedes but I'm more confident that their headlining skills will play in big league games.","8ZZLd5q2F1Y","sa830303"
"Matthew Thompson","CHW","RHP",,,13,,"40",2024,,"19.925","6' 3""","184","R","R",2019,"Draft","CHW",2100000,"Cypress Ranch HS (TX)","Thompson's stuff didn't take a step forward during his senior spring, but he was still sitting in the low-90s with average breaking stuff, and he has one of the most elegant deliveries in baseball. He's a malleable, athletic developmental project with a realistic fourth starter outcome.",,"sa3011866"
"Andrew Dalquist","CHW","RHP","R",,14,,"40",2024,,"19.6694444","6' 2""","170","R","R",2019,"Draft","CHW",2000000,"Redondo Union HS (CA)","Dalquist has a semi-projectable frame and a graceful, repeatable delivery. He's been up to at least 94, but mostly sits 89-92 and has good feel for a slower, 12-6 curveball. His arm action portends a better changeup. The key variable here is the velo. If it comes, Dalquist has No. 4 starter upside. Pro workloads tend to disallow that, but Dalquist's feel to pitch gives him a shot to be an effective starter even if he only ever sits 90-93.","rHQg9uD-l7U","sa3011841"
"Zack Burdi","CHW","RHP",,,15,,"40",2020,,"25.3472222","6' 3""","210","R","R",2016,"Draft","CHW",2128500,"Louisville","Burdi's velo continues to yo-yo, most recently in the right direction. Sitting 97-101 before surgery, 90-92 after, Burdi was back in the 94-96 range in his four 2020 spring innings before the shutdown. His slider quality also enjoyed a bit of a bounce back, though not anywhere near the knifing 2700 rpm version from its peak. The elite relief projection is gone without the elite velo, but Burdi is back to looking like a good middle relief piece.","qjlYWTBkyNQ","sa856551"
"Danny Mendick","CHW","SS","MLB",,16,,"40",2020,,"26.7944444","5' 10""","190","R","R",2015,"Draft","CHW",,"UMass Lowell","Mendick had a strong, BABIP-driven cup of coffee late last year despite pretty lousy at-bat quality during that stretch. It was anomalous for the shortstop, who has been a disciplined, contact-oriented hitter for his entire minor league career. He lacks the power typical of an everyday player, even on the middle infield, but is ready to play a versatile bench role right now.",,"18889"
"Blake Rutherford","CHW","LF",,,17,,"40",2020,,"23.2","6' 3""","210","L","R",2016,"Draft","NYY",3280000,"Chaminade Prep HS (CA)","Rutherford's skillset is typical of a platoon corner outfielder, in his case the larger half of one thanks to his handedness. The Platonic ideal of this sort of player (45 FV) is Seth Smith, who I think has more raw power than Rutherford. Also, Rutherford's swing is geared for low-ball contact, which is less useful in the game now than it was five or 10 years ago, as pitchers more often attack with velo at the top of the zone. For these reasons, I've rounded him down beneath the Smith archetype's typical FV.",,"sa917932"
"Luis Gonzalez","CHW","RF",,,18,,"40",2020,,"24.8444444","6' 1""","185","L","L",2017,"Draft","CHW",517000,"New Mexico","Gonzalez and Rutherford are stacked next to one another yet again, both lefty-hitting bench outfield types with different hitting styles. Gonzalez has the better bat-to-ball skills. He stands way off the dish, which creates some quality-of-contact limitations on pitches away from him in exchange for an ability to open up and turn on inside pitches with authority. It's an approach that's typically shiftable, but Gonzalez is also a good bunter and runs well to combat this.",,"sa3002721"
"Benyamin Bailey","CHW","RF",,,19,,"40",2024,,"18.8222222","6' 4""","215","R","R",2018,"J2","CHW",35000,"Panama","Bailey's stats in the DSL should pique curiosity and cause one to dig on his tools, but they are not, on their own, very meaningful. He is a huge-framed, corner outfield projection bat with pretty advanced feel for contact, though. He's a below-average athlete at present but perhaps has not fully grown into his body, a square-shouldered 6-foot-4. There's not a ton of power projection on the body since Bailey is already 215, but there is some, which, combined with the feel for contact, puts Bailey in a tier above the other interesting teenagers in the 35+ FV tier, who mostly have one-note offensive profiles.",,"sa3009343"
"Jose Rodriguez","CHW","SS","R",,20,,"40",2023,,"19.1694444","5' 11""","175","R","R",2017,"J2","CHW",37500,"Dominican Republic","Compact but punchy, Rodriguez has an interesting mix of playable power, speed, and defensive fit. His frame limits the power projection more than is typical for an 18-year-old, but he also has pretty advanced feel to hit. He has a shot to be a well-rounded regular.",,"sa3005788"
"Yolbert Sanchez","CHW","SS","R",,21,,"40",2025,,"23.3638888","6' 2""","190","R","R",2019,"J2","CHW",2500000,"Cuba","Sanchez is an above-average runner, defender, and thrower, but scouts aren't completely sold on him offensively, projecting him as a gap-to-gap hitter with modest power. Baltimore had the trump card to sign him last year and wouldn't top the rumored $2 million price he was offered to wait for July 2, 2019 when he signed with the White Sox. Visa issues kept him in the DSL for the rest of the summer, making it hard to learn anything new about him. He has utility infield projection based on reports from the international arm of the industry.","sTiDFoIUQR4","sa3011471"
"Gavin Sheets","CHW","1B","AA",,22,,"40",2020,,"24.225","6' 4""","230","L","L",2017,"Draft","CHW",2000000,"Wake Forest","Likely in need of a swing change to profile at first, Sheets' cut too often slices down at the baseball, and he can only get to his considerable raw power in certain parts of the strike zone. He has good bat control and makes mid-flight adjustments to breaking balls, which he has the raw strength to punish even if the timing of his lower half has been compromised. He's a good hitter, just one I'm skeptical will clear the offensive bar at first base without trading some contact for power, which hasn't happened yet. He could be part of a first base platoon for a team that has great flexibility throughout the rest of the roster (Tampa Bay's type) or someone's pre-arb plug and play, especially because the White Sox have so many guys ahead of Sheets on the 1B/DH depth chart.",,"sa829797"
"Konnor Pilkington","CHW","LHP","A+",,23,,"40",2021,,"22.8388888","6' 3""","228","L","L",2018,"Draft","CHW",650000,"Mississippi State","Pilkington missed an SEC bat per inning during his stay at Mississippi State, and seemed like a potentially quick-moving, low-variance backend starter prospect when the White Sox made him their third round pick in 2017. Physically mature and wielding vanilla stuff, Pilkington’s upside is limited, and most of his draft value was in perceived certainty. His stuff was sometimes down in the mid-80s during the 2019 spring, though. Ideally, he’ll move to the upper levels pretty quickly and at least function as viable depth before eventually taking a turn as the fifth starter.","Za16Dipi_9E","sa3008371"
"Luis Alexander Basabe","CHW","CF",,,24,,"40",2020,,"23.8833333","6' 0""","170","S","R",2012,"J2","BOS",450000,"Venezuela","Basabe shredded the Carolina League for the first two and a half months of 2018 -- hitting .266/.370/.502 -- then had one of the year's most impressive feats of strength when he turned around a 102 mph Hunter Greene fastball at the Futures Game, and deposited it 10 rows deep to right-center field. His second half with Double-A Birmingham was less successful, and just as Basabe appeared to be adjusting to the better pitching in August, he would again struggle in the 2018 Arizona Fall League, then again throughout 2019. Basabe's instincts in center field are not great, and he may be better suited for a corner despite his speed, which would make him the lesser half of a platoon since he's better as a righty hitter than as a lefty.","xQYw0z5Pmvs","sa736915"
"Tyler Johnson","CHW","RHP",,,25,,"40",2020,,"24.8972222","6' 3""","205","R","R",2017,"Draft","CHW",390000,"South Carolina","Because Johnson was hurt for most of the pre-deadline part of the 2019 season he wasn't widely seen until the Fall League, where he struggled to throw strikes. Thompson is athletically built but doesn't have an athletic delivery. He has a very casual, very terse stride that cuts him off and forces him to throw across his body. It's weird and disorienting the first few times you see it, which makes the 93-95 fastballs Johnson throws catch you off guard. He'll flash a plus breaking ball, but that was also inconsistent in Fall. He's a 40 FV from a stuff and deception perspective, though industry feedback (the AFL look was bad) mostly had him in the tier beneath this one.",,"sa915688"
"Seby Zavala","CHW","C",,,26,,"40",2020,,"26.8777777","6' 0""","215","R","R",2015,"Draft","CHW",100000,"San Diego State","Seby is going to strike out a lot, so much that it will be detrimental to his offensive output relative to the average big leaguer, but that's true of a lot of backup catchers. Zavala is a viable defensive catcher with above-average raw power, and I think he'd run into as many as 10 homers as a full-season backup. Where he sits among a crowded catching situation in Chicago depends on how the org views Mercedes and Collins defensively. He's likely the third catcher during his option years and someone's backup once those expire.","jLjZc_BROl8","18887"
"Jake Burger","CHW","3B","A",,27,,"35+",2021,,"24.2611111","6' 2""","210","R","R",2017,"Draft","CHW",3700000,"Missouri State","Thick and tightly wound, Burger was already a tenuous bet to stay at third base for very long before he twice ruptured his Achilles tendon, once during a spring training game and again while rehabbing in late May. The 12 month timetable for return from Achilles tears was reset, and puts Burger on track to come back sometime in June. 
While there are questions about his defense, Burger was one of the top college bats in the 2017 class. He has quick, explosive hands that generate big bat speed, and he has unusual bat control for someone who swings as hard as he does. He has sizable ceiling, especially if he can find a way to stay at third base, but we just won't know what kind of toll the injuries have taken until Burger starts playing games again, a date that keeps getting pushed back because of stuff beyond anyone's control.","s3XP82oUmfQ","sa915698"
"Bryan Ramos","CHW","3B","R",,28,,"35+",2023,,"18.3388888","6' 2""","190","R","R",2018,"J2","CHW",300000,"Cuba","This part of the system has a handful of interesting young hitters whose bonuses mostly fell in the mid-six figures. Several of them have an imposing physical presence, perhaps none more than Ramos. He is also the most reliable defensive infielder of this group and very likely to stay at third base, though the Sox also experimented with him at second during instructs after watching him operate around the bag during shift-related drills. 
For his age, Ramos is already a sizable guy. Perhaps tricked by the way his fire engine red batting gloves stood out against Chicago's black and grey instructional league threads, I thought he had the most explosive hands of the instructs group, and I like how bold his stride is, even though some of his swings are reckless. Ultimately, like the other hitters in this tier, he's a risky corner prospect a long way from the big leagues.",,"sa3010024"
"Lency Delgado","CHW","3B","R",,29,,"35+",2023,,"21.0666666","6' 3""","215","R","R",2018,"Draft","CHW",525000,"Doral Academy Prep (FL)","Delgado is built like a top-heavy college linebacker, bigger and faster than a lot of same-aged college players in this year's draft. His approach is a problem and it's important that he learn to attack the right pitches because his bat control is also limited. He's mostly played shortstop to this point but projects to third base long term. He's a tools/body lottery ticket.",,"sa3006913"
"Lenyn Sosa","CHW","SS","A",,30,,"35+",2022,,"20.4694444","6' 0""","180","R","R",2016,"J2","CHW",325000,"Venezuela","I like the way Sosa's hands work in the box and think he has a good knack for finding the barrel even though he doesn't have great bat speed. He's not a very good second baseman and I wonder if he might end up adding a bunch of weight and power to counterbalance what he lacks in selectivity.",,"sa3004051"
"Ian Hamilton","CHW","RHP","MLB",,31,,"35+",2020,,"25.0777777","6' 0""","200","R","R",2016,"Draft","CHW",101800,"Washington State","Hamilton has thrown very hard dating back to college and has maintained that kind of velo despite having one of the longer arm actions in baseball. His upper-80s slider is a gravity ball that spins at just 1600 rpm. It seems to work as long as Hamilton locates it, but his delivery is pretty hard to repeat. He profiles in fastball-heavy up/down relief.",,"19261"
"James Beard","CHW","CF","R",,32,,"35+",2024,,"19.8055555","6' 0""","190","R","R",2019,"Draft","CHW",350000,"Lloyd Star HS (MS)","As a hitter, Beard is more like a five o'clock shadow, one of the least-experienced hitters to appear on a team's list this year. But of all the young hitters in this org, he has the greatest chance of staying up the middle because his speed almost guarantees he'll stay in center field forever. He's a half-decade dev project with the speed to be a leadoff pest.",,"sa3010038"
"Zach Thompson","CHW","RHP","AAA",,33,,"35+",2020,,"26.725","6' 7""","230","R","R",2014,"Draft","CHW",,"Texas-Arlington","Thompson had parts of two consecutive seasons, '16-'17, when he struck out lots of hitters but still carried an ERA near 5.00. In 2018,that abated and he was dominant, quickly moving to Double-A. Last year, again, Thompson looked good from a stuff perspective but got hit around. His fastball/slider combination is 40 FV worthy but he just hasn't performed like a slam dunk relief piece and the industry passed on him in the Rule 5.",,"sa602893"
"DJ Gladney","CHW","3B","R",,34,,"35+",2024,,"19","6' 3""","200","R","R",2019,"Draft","CHW",225000,"Illiana Christian HS (IL)","Gladney presents an interesting case for splitting actual age away from other Traits of Maturity in draft models, since he was young for the class in age and reps (another possible Trait of Maturity), but not in body (a third). He's a strong guy who strides way open as he tries to pull everything with power, an all-or-nothing approach. Like Bryce Bush before him, Gladney will be tried at third base for a while but may not stay there. He's a high risk corner power prospect.",,"sa3010043"
"Bryce Bush","CHW","RF","A",,35,,"35+",2022,,"20.5833333","6' 0""","200","R","R",2018,"Draft","CHW",290000,"De La Salle Collegiate HS (MI)","A late-round, cold-weather high school flier who signed for $290,000, Bush played in some of the big prep showcases during his final amateur summer, and was clearly overmatched against the better pitching. But he put on an absolute show during batting practice and has one of the best raw power projections among potential future Sox. He had a strong pro debut on paper and continued to look good with the bat during the spring of 2019, then struggled during the summer. The general scouting consensus is that Bush will not stay at his current third base and will have to move to an outfield corner or to first, which immediately makes his whiffs troublesome. He's a high-risk, long-term developmental prospect with some of the louder offensive tools in the system.",,"sa3008278"
"Alec Hansen","CHW","RHP","AA",,36,,"35+",2021,,"25.7611111","6' 7""","240","R","R",2016,"Draft","CHW",1284500,"Oklahoma","What a roller coaster of a career it has already been for Hansen, who looked like a possible top three pick as a college sophomore, faltered as a junior, appeared reborn once free of seemingly poor college instruction, before collapsing again in 2018 when he was hurt for a time (forearm), and had more walks than innings pitched. It was more of the same in 2019 as Hansen, now in the bullpen, continued to struggle with walks and was eventually passed over in the Rule 5. That we've seen 94-97 with a plus breaking ball in the past means we may again, but the 2019 velo/command combo isn't going to cut it.","VQzZu_90hZk","sa738344"
"Jimmy Lambert","CHW","RHP",,,37,,"35+",2020,,"25.6555555","6' 2""","170","R","R",2016,"Draft","CHW",,"Fresno State","Lambert's strikeout rate exploded from 16% in 2017 to nearly 29% in 2018. The cause? A slight uptick in velocity paired with an arm slot change that has him coming straight over the top, creating more life on his heater. It also creates more vertical action on his breaking stuff. This delivery appears tough to maintain, as Lambert has to contort his body to get to that slot, but he hasn't been wild since making the change. Lambert tore his UCL after 11 starts and needed Tommy John last June, which likely would have cost him all of 2020. He probably would have been close to Pilkington on the list without the injury and has similar role projection.",,"sa918003"
"Johnabiell Laureano","CHW","CF",,,38,,"35+",2023,,"19.7583333","6' 0""","180","R","R",2017,"J2","CHW",,"Dominican Republic","Laureano had a huge 2019 repeating the DSL. He has a sizable frame, he runs well enough under way to continue playing some center field, and he generates good power on contact, though much of it is currently on the ground.",,"sa3005787"
"Caleb Freeman","CHW","RHP","A",,39,,"35+",2023,,"22.3916666","6' 1""","190","R","R",2019,"Draft","CHW",150000,"Texas Tech","Freeman only threw 16 innings during his junior year at Lubbock, and they weren't very good (he walked 15 guys). After he signed, Freeman was excellent. He sat 92-95 and touched 97 in rookie ball and flashed a plus breaking ball.",,"sa3011339"
"Bailey Horn","CHW","LHP",,,40,,"35+",2023,,"22.4972222","6' 2""","217","L","L",2020,"Draft","CHW",,"Auburn","Texas prepster went to McLennan JC in Texas then to Auburn. He had surgery in JC, pitched okay last year as a draft-eligible redshirt sophomore but finished strong in the regional, was 91-94 in the fall then up to 96 during the spring of 2020. He has two quality breaking balls and could probably stand to use the curveball more.","Texas prepster went to McLennan JC in Texas then t",
"Luis Mieses","CHW","CF","R",,41,,"35+",2022,,"20.1222222","6' 3""","210","L","L",2016,"J2","CHW",,"Dominican Republic","I'm staying on Mieses to some extent because I think he has freaky bat-to-ball ability that has thus far been made moot by excessive swinging.","XYGFH0CaVow","sa3003274"
