Name,Org,Pos,Current Level,Top 100,Org Rk,Trend,FV,ETA,Risk,Age,Ht,Wt,B,T,Signed,Signed From,Report,Video,playerId
"Jo Adell","LAA","RF","AAA",11,1,,"60",2021,"High","21.175","6' 3""","215","R","R","2017 Draft Rnd 1 (LAA)","Ballard HS (KY)","Adell played across three levels last year and reached Double-A at age 19. The swing and miss issues he exhibited in high school led many to assume his development might be slow, but after a month of vaporizing Low-A pitching at Burlington, he was quickly sent to the Cal League, where he'd spend most of the year. At Inland Empire, Adell continued to perform, and the Angels pushed him to Double-A Mobile in August, where he was finally forced to deal with some adversity, and struck out 31% of the time. 
Several prospects of recent memory (Byron Buxton, Domonic Brown, and Brandon Wood to name a few) have possessed such titanic physical gifts that they essentially weren't challenged until they reached the big leagues, and some people in baseball posit that it can be psychologically taxing to deal with growing pains in that bright of a spotlight, with the hopes of a franchise and its fans on one's shoulders. Adell is that kind of physical talent. He has a rare blend of power and speed, speed that he has retained since high school even though he has added about 20 pounds. He's now a better bet to stay in center field during his prime than he was in high school, when scouts assumed he'd slow down as he added weight. His feel for going back on balls in center is pretty good and some of the arm strength that Adell (who was once into the mid-90s on the mound) suddenly lost in high school has returned. 
His breaking ball recognition and bat control will continue to be tested by upper-level pitching, and if they start to show improvement, it's not only a sign that Adell is adjusting but that he has the capacity to do so in the future. At that point, we're talking prime Andrew McCutchen and Grady Sizemore-type tools.","tpQIfgNoqIE","sa3004837"
"Taylor Trammell","CIN","LF","AA",12,2,,"60",2021,"Med","22.7444444","6' 2""","195","L","L","2016 Draft Rnd 1 (CIN)","Mount Paran HS (GA)","Trammell has uncommon on-field self-awareness for a two-sport high school athlete who was only 20 last year. He has excellent plate discipline and an all-fields, gap-to-gap approach that suits his plus-plus speed; everything he slices down the line or sprays into the gap goes for extra-bases. Trammell also put on a shocking display during BP at the Futures Game and hit two absolute seeds during the game. He never did anything remotely like that in the Fall League (nor, frankly, did any of the other prospects who played in D.C. and then later in Arizona) and actually struggled to turn on balls there, but there's a chance of huge, if dormant, in-game power here, too. Though Trammell runs well enough to play center field (by a lot), his arm strength still might limit him to left field. That's where we have him projected, where we think he'll be a Carl Crawford or Brett Gardner type of defender. He projects as an excellent leadoff hitter with some pop, but there's a chance he ends up hitting for more power at some point.","M_E6U1FxIGw","sa917943"
"Keston Hiura","MIL","2B","MLB",13,1,,"60",2019,"Low","23.8583333","5' 11""","190","R","R","2017 Draft Rnd 1 (MIL)","UC Irvine","Hiura reached Double-A in his first full pro season, and then was clearly one of the top five or six talents in the Arizona Fall League, where he won League MVP. Most importantly, his arm strength is once again viable at second base. An elbow injury relegated Hiura to DH-only duty as a junior at UC Irvine, and he may have gone even earlier in the 2017 draft if not for concerns about the injury and how it might limit his defense. That's no longer a concern, as Hiura has an average arm and plays an unspectacular second base. This is an incredible hitter. He has lightning-quick hands that square up premium velocity and possesses a rare blend of power and bat control. Hiura's footwork in the box is a little noisier than it has to be, and if any of his swing's elements are ill-timed, it can throw off the rest of his cut. This, combined with an aggressive style of hitting, could cause him to be streaky. But ultimately he's an exceptional hitting talent and he's going to play a premium defensive position. We think he's an All-Star second baseman.","uYT5GJncl_8","20003"
"Brendan McKay","TBR","LHP/1B",,14,2,,"60",2019,"High","24.4805555","6' 2""","212","L","L","2017 Draft Rnd 1 (TBR)","Louisville","McKay was a cold-weather, two-way high school prospect with average tools. As is the case with many Louisville commits, his asking price was high. He got to campus and took such an immediate step forward that he was invited to play for college Team USA after just his freshman year. His tools steadily progressed and entering his draft spring, McKay was showing effortless 65-grade raw power, and above-average raw stuff on the mound. On draft day, we think a slight majority of teams preferred McKay as a hitter (the two of us were split). But every MLB team had him as a first round talent both ways, so it seemed inevitable that he would be the rare player who would get a chance to do both in pro ball so his team could at least have time to determine which path was the right one if he couldn't do both. That open-minded approach has driven how Tampa Bay has developed McKay. In 2018, his offense was fine -- he was unlucky by advanced and TrackMan metrics -- while he really broke out as a pitcher, regularly showing all the best stuff that he had only flashed in college. McKay leaned on a low-to-mid-90s fastball and didn't have trouble navigating lineups because of his above average to plus command of the pitch. A plus-flashing curveball is his best secondary offering, but his cutter and changeup are both above-average, giving him No. 2 or 3 starter upside, and he's not a long way off from reaching it. Shohei Ohtani's usage is the only precedent for how McKay might be handled: a standout, playoff rotation-caliber starter and DH. Given how baseball is valuing first base/DH players, there appears to be much more value on the mound for McKay, but there's still a real chance he turns into something like a 110 wRC+ hitter who could make a club just on the merits of his hitting and fielding ability as a first baseman, and scouts have always raved about his makeup and work ethic. The most exciting scenario would be if Tampa Bay paired him with a two-way righty (Tanner Dodson was a high pick in 2018 that will play both ways) and pull the gambit Joe Maddon has tried before: rotating righty and lefty pitchers between the mound and a spot in the field based on the matchups. It could be an effective strategy on its own while enabling roster flexibility in other areas, and it saves matchup relievers until later in the game. Of course, nobody wants the Rays to get too cute and spoil what might just be a traditional, mid-rotation profile.","aCKSVKfZpv0","20186"
"Keibert Ruiz","LAD","C",,15,1,,"60",2020,"High","21.8916666","6' 0""","200","S","R","2014 J2 (LAD)","Venezuela","Watching Ruiz catch is like watching video of Alan Shepard play golf on the moon. Things seem to be moving at a different pace for Keibert, especially on defense. He has a thick, unimpressive build and is a mediocre athlete, but almost all of his baseball skills are elite. He's one of the better receivers in the minors and is a better ball blocker than one would expect given his lack of athleticism, as if he has wild pitch precognition. Despite average pure arm strength, Ruiz is going to snipe a lot of would-be base-stealers because his throws are almost always right on the bag. 
The skills-over-tools coloration of Ruiz's profile continues on offense, where his hand-eye coordination and bat control make him extraordinarily hard to strike out. He struck out in just 8% of his plate appearances last year as a 19/20-year-old at Double-A Tulsa. Because Ruiz can make contact with just about anything, he tries to, and his lack of selectivity will likely limit his big league power output and perhaps his ability to reach base. But he has a very rare skillset for a catcher and a good chance to be an All-Star.","jGl4H285JjI","sa872528"
"Alex Kirilloff","MIN","RF","AA",16,2,,"60",2020,"High","22.5888888","6' 2""","195","L","L","2016 Draft Rnd 1 (MIN)","Plum HS (PA)","Kirilloff comes from the Pittsburgh area, hardly a hotbed for talent, but he distinguished himself in the summer before his draft year despite a slightly quirky uppercut swing. By the end of the summer, scouts had seen enough from Kiriloff and Bo Bichette to convince them that these swings could work, and that Kirilloff and Bichette belonged in the top few rounds, with both continuing to exceedexpectations. Kirilloff went in the middle of the first round in 2016, and missed time immediately after playing his first 55 pro games with Tommy John surgery. 
He came back for his first full season in 2018 and dominated both Low-A and High-A, hitting over .330 at both stops with 20 homers on the season and strikeout rates below league average. There's some chance he is even more than just a 60 hitter with 55 or 60 power, which is what most scouts are projecting right now, with something like a 15-20% chance that Kirilloff turns into the next Joey Votto. There's some disagreement about whether his 2018 season was him dominating pitching that didn't challenge him, or if he has an approach that's a little too aggressive and he just got away with it in 2018. Kirilloff is a fringy runner who's an average defender in right field and has a plus arm, but he may bulk up and move to first base down the line, which would likely come with more power as well.","l3xPPnRQA7o","sa917929"
"Sixto Sanchez","MIA","RHP","AA",17,1,,"60",2020,"High","21.8666666","6' 0""","185","R","R","2014 J2 (PHI)","Dominican Republic","Sanchez's first 2019 start -- during which he walked an uncharacteristically high four hitters and spent much of the outing rotating his head and neck about his shoulders, and stretching his arm and upper back -- was perhaps a harbinger of things to come; his season would later end due to multiple injuries. After that rough first start, his stuff and command were as they usually are. He was generating upper-90s velocity with ease, his breaking balls were crisp, and his changeups were well-located and moving. He walked just seven hitters in his final seven starts of the year before succumbing to elbow inflammation, which ended his regular season in early-June. Sanchez rehabbed in Florida in anticipation of an Arizona Fall League assignment and threw some tune up innings early during the 2018 fall instructional league, his stuff intact and ready for Arizona. Then he awoke one morning with soreness in his collarbone. After an MRI it was determined that Sixto would have to shut things down for a bit and head to Arizona quite late, so he was just shelved for the year. Sanchez has now missed time to injury in two consecutive seasons. In each year, he has often been given extended rest between starts and dealt with issues in his neck and collarbone area. That isn't ideal and all else being equal, we'd rather have a pitching prospect without this kind of injury history. But all else isn't equal when one lines up Sixto's stuff and command, both of which are very advanced for a conversion arm so new to pitching, against the stuff and command of other minor league pitchers. This is one of the most talented pitching prospects on Earth, one with top of the rotation potential. He's still only 20 so the fact that injuries have diluted his innings output isn't a huge issue yet. Hopefully he has a healthy, robust 2019 and gets back on track to debut in 2020.","OFHkPmNCPOI","sa873550"
"Carter Kieboom","WSN","SS","MLB",18,2,,"60",2020,"Med","22.7722222","6' 2""","190","R","R","2016 Draft Rnd 1 (WSN)","Walton HS (GA)","Kieboom entered 2018 with just 48 full-season games under his belt due to a nasty hamstring injury that cut short his promising 2017 campaign. He crushed Hi-A, hitting .298/.386/.494 and forcing a promotion to Double-A at age 20. Kieboom didn't hit well during his two-month stay in Harrisburg and he didn't look very good at shortstop in the Fall League, but he has performed much better than expected for a hitter who is the age of a college sophomore. He is going to stay on the infield, and has big, playable raw power, and we're unconcerned about his late-season struggles. Kieboom's hands work in a tight, explosive circle, which generates all-fields thump and enables Kieboom to catch up to premium velocity. He's a little heavy-footed on defense but his arm plays on the left side of the infield and his mediocre range might be able to be hidden by modern defensive positioning. This is a complete player with a chance to hit in the middle of the order and also stay at shortstop, if not second or third base. That's a potential All-Star.","_-90cLZAZz4","19958"
"Cristian Pache","ATL","CF",,19,1,,"55",2021,"Med","21.5611111","6' 2""","185","R","R","2015 J2 (ATL)","Dominican Republic","If we told you a prospect seemed like an injury-independent lock to play elite outfield defense, how much offense would he have to provide to be a star-level player? The industry's six-week look at Pache during the Arizona Fall League further cemented the belief that Pache has a great chance to be one of the, if not the, best defensive center fielders in baseball as soon as he arrives in Atlanta. He's a plus to plus-plus runner with a great first step, and he has a knack for contorting his body in ways that enable him to make spectacular catches on flyballs that would otherwise fall in for tough-luck hits. He also has a 70-grade arm when he sets and throws properly, though at times he sacrifices velocity and accuracy in order to get rid of the ball more quickly, which isn't always the right decision. Pache also has good bat-to-ball skills and solid average raw power, but the quality of his at-bats and his hitting mechanics both vary. His upside is enormous if everything comes together, and Pache just turned 20 years old, but there's risk that the bat plays down because of Pache's approach. If that's the case, he might exist in the Hamilton/Pillar area of WAR production, but even a one-dimensional offensive profile likely results in star level production and because Pache is still just the age of a college sophomore, we anticipate growth in this area.","ALCsGpZ1oiA","sa916722"
"Ke'Bryan Hayes","PIT","3B",,20,1,,"55",2020,"Med","23.3694444","6' 1""","210","R","R","2015 Draft Rnd 1 (PIT)","Concordia Lutheran HS (TX)","The son of 13-year big leaguer Charlie Hayes, Ke'Bryan has a rare blend of skills that includes premium defense, plus speed, and an offensive profile structured much like his father's. 
The younger Hayes was identified as a potential early-round pick pretty early in high school and eventually climbed to the back of the first round after a strong senior spring. He was drafted 32nd overall and signed for $1.8 million rather than head to Tennesse, where he and Nick Senzel would have played together for a year. Hayes has moved through the minors quickly and had a strong 2018 season at Double-A Altoona -- .293/.375/.444 with an 11% BB%, 16.5% K%, 31 2Bs, 12 SB -- in what would have been his draft year. He's one of the best defensive third basemen in the minors and has progressed to become an above-average hitter, as well. A flat-planed swing and conservative hitting footwork are stifling the in-game power production. For Hayes, that's fine. He does everything else. 
It's possible the Pirates will try to coax more power of out him by tweaking either his footwork or by moving his hands, the latter of which feels riskier. Even without further offensive evolution, Hayes projects as an all-fields, league-average offensive threat with plus-plus defense.","o76lKnW1nX0","sa874730"
"Dustin May","LAD","RHP","MLB",21,2,,"55",2020,"High","22.7638888","6' 6""","180","R","R","2016 Draft Rnd 3 (LAD)","Northwest HS (TX)","May's flamboyant ginger curls and Bronson Arroyo-esque leg kick are maybe the third and fourth most visually captivating aspects of his on-mound presence once you've gotten a look at his stuff. His mid-90s fastball plays up due to great extension, and further incorporation of a running two-seamer has given May's heater enough tail to miss bats in the strike zone. His vertically-breaking slider (May calls it a slider, but it has curveball shape) has one of the better spin rates in the minors and enough vertical depth to miss bats against both left and right-handed hitters. It's May's out pitch, but he also has a developing cutter and its movement is a great foil for his two-seamer. After trying several different changeup grips in 2017, it seems like May is still searching for a good cambio, but his fastball and breaking ball command should suffice against lefties for now. 
The leg kick makes May slow to home and he may be vulnerable to the stolen base because of it, which forces him to vary his cadence home in an attempt to stymie runners. Now at Double-A, what was once a prospect with mid-rotation upside has become one with mid-rotation likelihood.","xvHfqB6Fl5w","19716"
"MacKenzie Gore","SDP","LHP",,22,2,,"55",2021,"High","21.2972222","6' 3""","180","L","L","2017 Draft Rnd 1 (SDP)","Whiteville HS (NC)","Blisters and fingernail issues were a minor problem during Gore's 2017 pro debut, and shelved him three separate times throughout 2018. His stuff was intact when he pitched, his fastball resting mostly in the 92-94 range and topping around 96 during most of his starts, though he has peaked at 98. 
He is mechanically non-traditional, something Gore is able to maintain because he's such a great athlete. As his front leg kicks up before he pedals toward the plate, so too does his glove and pitching hand, way up over his head, as if his mitt and knee are connected by an invisible wire. When Gore comes home, he drifts toward the first base side of the mound a bit, creating a unique angle on his pitches. 
And those pitches are good. Though he doesn't have great natural ability to spin the ball, Gore's over-the-top arm slot enables him to get tumble on his curveball anyway, he has very advanced changeup feel, and his slider is firm. He'll be able to locate what he wants, where he wants for as long as he retains his top-of-the-scale athleticism. He may be on a bit of an innings count this year just because he only threw 66 innings in 2018, but otherwise he's quite advanced and could move through the minors fairly quickly. ","7bZP4Vs1QhA","sa3005068"
"Gavin Lux","LAD","2B","MLB",23,3,,"55",2021,"High","22.55","6' 2""","190","L","R","2016 Draft Rnd 1 (LAD)","Indian Trail Academy HS (WI)","Lux has become almost the inverse of what he was in high school. Drafted as a glove-first shortstop, he has developed throwing issues that we believe will push him to second base. His early-season onslaught at Rancho Cucamonga could have been interpreted as a Cal League mirage, but Lux continued to hit and hit for power at Double-A Tulsa after promotion and scouts have future plus grades on his raw power. 
Now much more physical and strong than he was when he was drafted, Lux is the latest Dodgers player to enjoy a beneficial swing change. His hands have become more active before they fire, and his swing has more lift now, resulting in a ground ball rate that fell from 52% in 2017 to 42% in 2018. His bat is quick enough to catch velocity up in the zone and Lux is strong enough to punish it. The changes haven't had a negative impact on his feel for contact and he remains a selective hitter, as well. We're somewhat concerned about the throwing issues but there's middle infield speed and athletic ability here, and we hope those get ironed out because if they do, Lux could be an All-Star.","UN_FiRAXe4Q","19955"
