Rk,Name,Age,Debut,Last Game,Pos,Tm,WAR,Ht,Wt,B,T,Birthdate,Birthplace,Draft/Signing,Schools,High School,Given Name
18,Jaime Barria\barrija01,21.267,Apr 11,,1,LAA,2.2,6-1,210,R,R,Jul 18 1996,Panama Panama PA,Signed by the Los Angeles Angels of Anaheim as an amateur free agent in 2013.,,,Jaime Jonathan
19,Tyler Bashlor\bashlty01,25.070,Jun 25,,1,NYM,-0.3,6-0,195,R,R,Apr 16 1993,Springfield GA US,Drafted by the New York Mets in the 11th round of the 2013 amateur draft. Player signed June 19 2013.,South Georgia College (Douglas GA),Calvary Day Baptist (Savannah GA),Tyler Morris
20,Jake Bauers\bauerja01,22.244,Jun 7,,37/DH9,TBR,-0.2,6-1,195,L,L,Oct 6 1995,Newport Beach CA US,Drafted by the San Diego Padres in the 7th round of the 2013 amateur draft. Player signed June 18 2013.,,Marina HS (Huntington Beach CA),Jakob Christopher
21,Gerson Bautista\bautige01,22.321,Apr 17,,/1,NYM,-0.6,6-3,195,R,R,May 31 1995,San Juan San Juan DO,Signed by the Boston Red Sox as an amateur free agent in 2013.,,,Gerson
22,Tyler Beede\beedety01,24.322,Apr 10,,/1,SFG,-0.3,6-3,211,R,R,May 23 1993,Worcester MA US,Drafted by the San Francisco Giants in the 1st round (14th pick) of the 2014 amateur draft. Player signed July 11 2014.,Vanderbilt University (Nashville TN),Lawrence Academy (Groton MA),Tyler Joseph
23,Jalen Beeks\beeksja02,24.332,Jun 7,,/1,BOS,0.1,5-11,200,L,L,Jul 10 1993,Fayetteville AR US,Drafted by the Boston Red Sox in the 12th round of the 2014 amateur draft. Player signed June 21 2014.,University of Arkansas (Fayetteville AR),Prairie Grove HS (Prairie Grove AR),Jalen Christopher
24,Jon Berti\bertijo01,28.247,Sep 26,,/4,TOR,1.6,5-10,195,R,R,Jan 22 1990,Troy MI US,Drafted by the Toronto Blue Jays in the 18th round of the 2011 amateur draft. Player signed June 12 2011.,Bowling Green State University (Bowling Green OH),Troy HS (Troy MI),Jonathon David
25,Jesse Biddle\biddlje01,26.181,Apr 21,,1,ATL,-0.5,6-5,220,L,L,Oct 22 1991,Philadelphia PA US,Drafted by the Philadelphia Phillies in the 1st round (27th pick) of the 2010 amateur draft. Player signed June 10 2010.,,Germantown Friends HS (Philadelphia PA),Jesse Thomas
26,Shane Bieber\biebesh01,23.000,May 31,,1,CLE,5.5,6-3,200,R,R,May 31 1995,Orange CA US,Drafted by the Cleveland Indians in the 4th round of the 2016 amateur draft. Player signed June 28 2016.,University of California Santa Barbara (Santa Barbara CA),Laguna Hills HS (Laguna Hills CA),Shane Robert
27,Ray Black\blackra01,28.012,Jul 8,,1,SFG,-0.4,6-5,225,R,R,Jun 26 1990,Wilkes-Barre PA US,Drafted by the San Francisco Giants in the 7th round of the 2011 amateur draft. Player signed August 14 2011.,University of Pittsburgh (Pittsburgh PA),James M. Coughlin HS (Wilkes-Barre PA),Raymond Anthony
28,Alex Blandino\blandal01,25.155,Apr 10,,H456/3719,CIN,0.1,6-0,190,R,R,Nov 6 1992,Palo Alto CA US,Drafted by the Cincinnati Reds in the 1st round (29th pick) of the 2014 amateur draft. Player signed June 20 2014.,Stanford University (Palo Alto CA),St. Francis HS (Mountain View CA),Alessandre
29,Jeremy Bleich\bleicje01,31.025,Jul 13,Jul 20 2018,/1,OAK,-0.1,6-2,215,L,L,Jun 18 1987,New Orleans LA US,Drafted by the New York Yankees in the 1st round (44th pick) of the 2008 amateur draft. Player signed August 15 2008.,Stanford University (Palo Alto CA),,Jeremy Michael
30,Ryan Borucki\borucry01,24.087,Jun 26,,1,TOR,1.4,6-4,215,L,L,Mar 31 1994,Mundelein IL US,Drafted by the Toronto Blue Jays in the 15th round of the 2012 amateur draft. Player signed July 10 2012.,,Mundelein HS (Mundelein IL),Ryan Joseph
31,David Bote\boteda01,25.014,Apr 21,,5H4/367,CHC,3.2,6-1,210,R,R,Apr 7 1993,Longmont CO US,Drafted by the Chicago Cubs in the 18th round of the 2012 amateur draft. Player signed June 25 2012.,Neosho County Community College (Chanute KS),Faith Christian Academy (Arvada CO),David C.
32,Colten Brewer\breweco01,25.165,Apr 12,,1,SDP,0.5,6-4,230,R,R,Oct 29 1992,Dallas TX US,Drafted by the Pittsburgh Pirates in the 4th round of the 2011 amateur draft. Player signed July 13 2011.,,Canton HS (Canton TX),Colten Bradley
33,Jose Briceno\bricejo01,25.249,May 26,Sep 29 2018,2/H3,LAA,0.5,6-1,225,R,R,Sep 19 1992,Caracas Distrito Federal VE,Signed by the Colorado Rockies as an amateur free agent in 2009.,,,Jose Manuel
34,Jeff Brigham\brighje01,26.198,Sep 2,,/1,MIA,0.0,6-0,195,R,R,Feb 16 1992,Federal Way WA US,Drafted by the Los Angeles Dodgers in the 4th round of the 2014 amateur draft. Player signed June 11 2014.,University of Washington (Seattle WA),Thomas Jefferson HS (Auburn WA),Jeff John
35,Nick Burdi\burdini01,25.235,Sep 11,,/1,PIT,-0.6,6-3,225,R,R,Jan 19 1993,Hinsdale IL US,Drafted by the Minnesota Twins in the 2nd round of the 2014 amateur draft. Player signed June 24 2014.,University of Louisville (Louisville KY),Downers Grove South HS (Downers Grove IL),Nicholas Edward
36,Corbin Burnes\burneco01,23.261,Jul 10,,1,MIL,-1.5,6-3,225,R,R,Oct 22 1994,Bakersfield CA US,Drafted by the Milwaukee Brewers in the 4th round of the 2016 amateur draft. Player signed June 15 2016.,Saint Mary's College of California (Moraga CA),Centennial HS (Bakersfield CA),Corbin Brian
37,Ryan Burr\burrry01,24.087,Aug 23,,/1,CHW,-0.2,6-4,230,R,R,May 28 1994,Highlands Ranch CO US,Drafted by the Arizona Diamondbacks in the 5th round of the 2015 amateur draft. Player signed June 13 2015.,Arizona State University (Tempe AZ),Highlands Ranch HS (Highlands Ranch CO),Ryan Matthew
38,Ty Buttrey\buttrty01,25.138,Aug 16,,1,LAA,1.1,6-6,240,L,R,Mar 31 1993,Matthews NC US,Drafted by the Boston Red Sox in the 4th round of the 2012 amateur draft. Player signed June 15 2012.,,Providence HS (Charlotte NC),Ty Douglas
39,Ryan Carpenter\carpery01,27.222,Apr 1,,/1,DET,-1.5,6-5,230,L,L,Aug 22 1990,Glendale AZ US,Drafted by the Tampa Bay Rays in the 7th round of the 2011 amateur draft. Player signed July 23 2011.,Gonzaga University (Spokane WA),Cactus HS (Glendale AZ),Ryan Nicholas
40,Cody Carroll\carroco01,25.290,Aug 1,Sep 29 2018,1,BAL,-0.4,6-5,215,R,R,Oct 15 1992,Mount Juliet TN US,Drafted by the New York Yankees in the 22nd round of the 2015 amateur draft. Player signed June 16 2015.,University of Southern Mississippi (Hattiesburg MS),Mount Juliet HS (Mount Juliet TN),Cody Mark
41,Diego Castillo\castidi01,24.139,Jun 6,,1,TBR,1.5,6-3,250,R,R,Jan 18 1994,Cabrera Maria Trinidad Sanchez DO,Signed by the Tampa Bay Rays as an amateur free agent in 2014.,,,Diego
42,Jose Castillo\castijo03,22.143,Jun 2,,1,SDP,0.6,6-6,252,L,L,Jan 10 1996,Valencia Carabobo VE,Signed by the Tampa Bay Rays as an amateur free agent in 2012.,,,Jose Gregorio
43,Harold Castro\castrha01,24.297,Sep 23,,/64H,DET,-0.3,6-0,180,L,R,Nov 30 1993,Caracas Distrito Federal VE,Signed by the Detroit Tigers as an amateur free agent in 2011.,,,Harold Arnaldo
44,Jake Cave\caveja01,25.166,May 19,,89H/7D,MIN,2.6,6-0,200,L,L,Dec 4 1992,Hampton VA US,Drafted by the New York Yankees in the 6th round of the 2011 amateur draft. Player signed August 15 2011.,,Kecoughtan HS (Hampton VA),Andrew Jacob
45,Yonny Chirinos\chiriyo01,24.096,Apr 1,,1,TBR,3.1,6-2,240,R,R,Dec 26 1993,Bachaquero Zulia VE,Signed by the Tampa Bay Rays as an amateur free agent in 2012.,,,Yonny Enrique
46,Adam Cimber\cimbead01,27.226,Mar 29,,1,SDP,0.7,6-4,195,R,R,Aug 15 1990,Portland OR US,Drafted by the San Diego Padres in the 9th round of the 2013 amateur draft. Player signed June 11 2013.,University of San Francisco (San Francisco CA) University of Washington (Seattle WA),Puyallup HS (Puyallup WA),Adam Christian
47,Nick Ciuffo\ciuffni01,23.180,Sep 3,,2,TBR,-0.3,6-0,200,L,R,Mar 7 1995,Mount Pleasant SC US,Drafted by the Tampa Bay Rays in the 1st round (21st pick) of the 2013 amateur draft. Player signed June 21 2013.,,Lexington HS (Lexington SC),Nicholas Anthony
48,P.J. Conlon\conlopj01,24.177,May 7,Jul 10 2018,/1,NYM,-0.2,5-11,192,L,L,Nov 11 1993,Belfast Belfast GB,Drafted by the New York Mets in the 13th round of the 2015 amateur draft. Player signed June 16 2015.,University of San Diego (San Diego CA),El Dorado HS (Placentia CA),Patrick Joshua
49,Ryan Cordell\cordery01,26.156,Sep 3,,/98H,CHW,-1.3,6-4,195,R,R,Mar 31 1992,Sacramento CA US,Drafted by the Texas Rangers in the 11th round of the 2013 amateur draft. Player signed June 14 2013.,Liberty University (Lynchburg VA),Valley Christian HS (Roseville CA),Ryan Thomas
50,Jimmy Cordero\cordeji01,26.287,Aug 2,,1,WSN,0.9,6-4,235,R,R,Oct 19 1991,San Cristobal San Cristobal DO,Signed by the Toronto Blue Jays as an amateur free agent in 2012.,,Liceo Ana Lilian Miranda (Yaguate Dominican Republic),Jimmy Gerard
51,Nestor Cortes Jr.\cortene01,23.111,Mar 31,,/1,BAL,-0.5,5-11,210,R,L,Dec 10 1994,Surgidero de Batabano Mayabeque CU,Drafted by the New York Yankees in the 36th round of the 2013 amateur draft. Player signed July 12 2013.,,Hialeah HS (Hialeah FL),Nestor
52,Dylan Cozens\cozendy01,24.001,Jun 1,,H/79,PHI,-0.2,6-6,235,L,L,May 31 1994,Scottsdale AZ US,Drafted by the Philadelphia Phillies in the 2nd round of the 2012 amateur draft. Player signed June 7 2012.,,Chaparral HS (Scottsdale AZ),Dylan Wallace
53,Noel Cuevas\cuevano01,26.202,Apr 22,,H97/8,COL,-1.3,6-2,224,R,R,Oct 2 1991,Camuy PR,Drafted by the Los Angeles Dodgers in the 21st round of the 2010 amateur draft. Player signed August 15 2010.,Universidad Interamericana (San Juan Puerto Rico),Montverde Academy (Kissimmee FL),Noel A.
54,Austin Davis\davisau01,25.137,Jun 20,,1,PHI,0.1,6-4,245,L,L,Feb 3 1993,Scottsdale AZ US,Drafted by the Philadelphia Phillies in the 12th round of the 2014 amateur draft. Player signed June 19 2014.,California State University Bakersfield (Bakersfield CA),Desert Mountain HS (Scottsdale AZ),Austin Richard
55,Jonathan Davis\davisjo05,26.116,Sep 5,,/87HD,TOR,-0.7,5-8,190,R,R,May 12 1992,Camden AR US,Drafted by the Toronto Blue Jays in the 15th round of the 2013 amateur draft. Player signed June 12 2013.,University of Central Arkansas (Conway AR),Fairview HS (Camden AR),Jonathan R.
56,Enyel De Los Santos\delosen01,22.197,Jul 10,,/1,PHI,-0.1,6-3,235,R,R,Dec 25 1995,San Pedro de Macoris San Pedro de Macoris DO,Signed by the Seattle Mariners as an amateur free agent in 2014.,,,Enyel
57,Austin Dean\deanau01,24.305,Aug 15,,7/H,MIA,-1.5,6-1,215,R,R,Oct 14 1993,Spring TX US,Drafted by the Miami Marlins in the 4th round of the 2012 amateur draft. Player signed June 9 2012.,,Klein Collins HS (Spring TX),Austin James
58,Dean Deetz\deetzde01,24.280,Sep 5,Sep 26 2018,/1,HOU,0.0,6-1,189,R,R,Nov 29 1993,Nixa MO US,Drafted by the Houston Astros in the 11th round of the 2014 amateur draft. Player signed June 9 2014.,Northeast Oklahoma A&M College (Miami OK),,Dean Arthur
59,Brandon Dixon\dixonbr01,26.113,May 22,,3H9/4751,CIN,-0.8,6-2,215,R,R,Jan 29 1992,La Jolla CA US,Drafted by the Los Angeles Dodgers in the 3rd round of the 2013 amateur draft. Player signed June 13 2013.,University of Arizona (Tucson AZ),,Brandon Allen
60,Seranthony Dominguez\dominse01,23.163,May 7,,1,PHI,2.3,6-1,225,R,R,Nov 25 1994,Esperanza Valverde DO,Signed by the Philadelphia Phillies as an amateur free agent in 2011.,,,Seranthony Ambioris
61,Steven Duggar\duggast01,24.246,Jul 8,,8/H,SFG,1.1,6-2,189,L,R,Nov 4 1993,Spartanburg SC US,Drafted by the San Francisco Giants in the 6th round of the 2015 amateur draft. Player signed June 15 2015.,Clemson University (Clemson SC),James F. Byrnes HS (Duncan SC),Steven Michael
62,Caleb Ferguson\ferguca01,21.339,Jun 6,,1/H,LAD,0.1,6-3,226,R,L,Jul 2 1996,Columbus OH US,Drafted by the Los Angeles Dodgers in the 38th round of the 2014 amateur draft.,,West Jefferson HS (West Jefferson OH),Caleb Paul
63,Jose Fernandez\fernajo04,25.200,Sep 1,,1,TOR,-0.5,6-3,215,L,L,Feb 13 1993,Mao Valverde DO,Signed by the Toronto Blue Jays as an amateur free agent in 2012.,,,Jose Manuel
64,Jose Miguel Fernandez\fernajo03,30.042,Jun 8,Sep 29 2018,3/H5D4,LAA,0.2,5-10,185,L,R,Apr 27 1988,Santa Clara Villa Clara CU,Signed by the Los Angeles Dodgers as an amateur free agent in 2017.,,,José Miguel
65,Matt Festa\festama01,25.125,Jul 14,,/1,SEA,0.2,6-1,195,R,R,Mar 11 1993,Brooklyn NY US,Drafted by the Seattle Mariners in the 7th round of the 2016 amateur draft. Player signed June 14 2016.,Dominican College (Orangeburg NY) East Stroudsburg University of Pennsylvania (East Stroudsburg PA),St. Joseph by the Sea HS (Staten Island NY),Matthew Joseph
66,Johnny Field\fieldjo04,26.053,Apr 14,Sep 29 2018,978/HD1,TBR,0.7,5-10,195,R,R,Feb 20 1992,Las Vegas NV US,Drafted by the Tampa Bay Rays in the 5th round of the 2013 amateur draft. Player signed June 15 2013.,University of Arizona (Tucson AZ),Bishop Gorman HS (Las Vegas NV),John David
67,Heath Fillmyer\fillmhe01,24.039,Jun 24,,1,KCR,0.4,6-1,195,R,R,May 16 1994,Roebling NJ US,Drafted by the Oakland Athletics in the 5th round of the 2014 amateur draft. Player signed July 1 2017.,Mercer County Community College (West Windsor NJ),,Heath Devon
68,David Fletcher\fletcda02,24.013,Jun 13,,45/H69,LAA,6.8,5-9,185,R,R,May 31 1994,Orange CA US,Drafted by the Los Angeles Angels of Anaheim in the 6th round of the 2015 amateur draft. Player signed June 14 2015.,Loyola Marymount University (Los Angeles CA),,David Owen
69,Caleb Frare\frareca01,25.056,Sep 2,,1,CHW,-0.1,6-1,225,L,L,Jul 8 1993,Miles City MT US,Drafted by the New York Yankees in the 11th round of the 2012 amateur draft. Player signed June 11 2012.,,Custer County HS (Miles City MT),Caleb Michael
70,Paul Fry\frypa01,25.338,Jun 29,,1,BAL,0.3,6-0,205,L,L,Jul 26 1992,Pontiac MI US,Drafted by the Seattle Mariners in the 17th round of the 2013 amateur draft. Player signed June 12 2013.,St. Clair County Community College (Port Huron MI),Waterford-Kettering HS (Waterford MI),Paul Raymond
71,Drew Gagnon\gagnodr01,28.014,Jul 10,,/1,NYM,-1.4,6-4,215,R,R,Jun 26 1990,Columbia CA US,Drafted by the Milwaukee Brewers in the 3rd round of the 2011 amateur draft. Player signed June 27 2011.,California State University Long Beach (Long Beach CA),Liberty HS (Brentwood CA),Andrew Miles
72,Isaac Galloway\gallois01,28.294,Jul 31,,7H98,MIA,-0.1,6-2,205,R,R,Oct 10 1989,Pomona Valley CA US,Drafted by the Florida Marlins in the 8th round of the 2008 amateur draft. Player signed June 14 2008.,,Los Osos HS (Rancho Cucamonga CA),Isaac
73,Adolis García\garciad02,25.159,Aug 8,Sep 30 2018,H/978,STL,-0.3,6-1,180,R,R,Mar 2 1993,Ciego de Avila CU,Signed as a Free Agent with the St. Louis Cardinals in 2017.,,,José Adolis
74,Aramis Garcia\garciar01,25.231,Aug 31,,3/2H,SFG,-0.1,6-1,228,R,R,Jan 12 1993,Hialeah FL US,Drafted by the San Francisco Giants in the 2nd round of the 2014 amateur draft. Player signed July 17 2014.,Florida International University (Miami FL),Pembroke Pines HS (Pembroke Pines FL),Aramis Michael
75,Mike Gerber\gerbemi01,25.286,Apr 20,,/7H8D9,DET,-1.2,6-0,190,L,R,Jul 8 1992,Nashville TN US,Drafted by the Detroit Tigers in the 15th round of the 2014 amateur draft. Player signed June 11 2014.,Creighton University (Omaha NE),Neuqua Valley HS (Naperville IL),Michael Jeffrey
76,Austin Gomber\gombeau01,24.191,Jun 2,Sep 30 2018,1,STL,0.3,6-5,230,L,L,Nov 23 1993,Winter Garden FL US,Drafted by the St. Louis Cardinals in the 4th round of the 2013 amateur draft. Player signed June 12 2014.,Florida Atlantic University (Boca Raton FL),West Orange HS (Winter Garden FL),Austin Zachary
77,Stephen Gonsalves\gonsast01,24.043,Aug 20,Sep 27 2018,/1,MIN,-0.7,6-5,220,L,L,Jul 8 1994,San Diego CA US,Drafted by the Minnesota Twins in the 4th round of the 2013 amateur draft. Player signed June 19 2013.,,Cathedral Catholic HS (San Diego CA),Stephen William
78,Alfredo Gonzalez\gonzaal04,25.317,May 26,Jun 3 2018,/2,CHW,-0.1,6-0,220,R,R,Jul 13 1992,Santa Teresa del Tuy Miranda VE,Signed by the Houston Astros as an amateur free agent in 2008.,,,Alfredo Rene
79,Merandy Gonzalez\gonzame01,22.192,Apr 19,Aug 13 2018,/1,MIA,-0.2,6-0,216,R,R,Oct 9 1995,Cotui Sanchez Ramirez DO,Signed by the New York Mets as an amateur free agent in 2013.,,,Merandy
80,Brett Graves\gravebr01,25.138,Jun 17,Sep 26 2018,1,MIA,-0.4,6-1,170,R,R,Jan 30 1993,St. Charles MO US,Drafted by the Oakland Athletics in the 3rd round of the 2014 amateur draft. Player signed July 4 2014.,University of Missouri (Columbia MO),Francis Howell HS (St. Charles MO),Brett Thomas
81,Grayson Greiner\greingr01,25.207,May 6,,2,DET,-0.7,6-6,239,R,R,Oct 11 1992,Columbia SC US,Drafted by the Detroit Tigers in the 3rd round of the 2014 amateur draft. Player signed June 11 2014.,University of South Carolina (Columbia SC),Blythewood HS (Blythewood SC),Grayson James
82,Javy Guerra\guerrja02,22.221,May 4,,/6H5,SDP,-0.2,5-11,185,L,R,Sep 25 1995,David Chiriqui PA,Signed by the Boston Red Sox as an amateur free agent in 2012.,,,Javier Alexis
83,Gabriel Guerrero\guerrga01,24.267,Sep 4,Sep 30 2018,H/89,CIN,-0.1,6-3,215,R,R,Dec 11 1993,Nizao Peravia DO,Signed by the Seattle Mariners as an amateur free agent in 2011.,,,Gabriel
84,Taylor Guerrieri\guerrta02,25.274,Sep 1,,/1,TOR,0.2,6-2,210,R,R,Dec 1 1992,Augusta GA US,Drafted by the Tampa Bay Rays in the 1st round (24th pick) of the 2011 amateur draft. Player signed August 15 2011.,,Spring Valley HS (Columbia SC),Christopher Taylor
85,Luis Guillorme\guilllu01,23.226,May 11,,H5/4,NYM,0.1,5-10,195,L,R,Sep 27 1994,Caracas Distrito Federal VE,Drafted by the New York Mets in the 10th round of the 2013 amateur draft. Player signed June 9 2013.,,Coral Springs Charter HS (Coral Springs FL),Luis Miguel
86,Lourdes Gurriel Jr.\gurrilo01,24.192,Apr 20,,64/H,TOR,1.5,6-3,215,R,R,Oct 10 1993,Sancti Spiritus CU,Signed by the Toronto Blue Jays as an amateur free agent in 2016.,,,Lourdes Yunielki
87,Ronald Guzman\guzmaro01,23.175,Apr 13,,*3/H,TEX,0.7,6-5,225,L,L,Oct 20 1994,La Vega La Vega DO,Signed by the Texas Rangers as an amateur free agent in 2011.,,,Ronald Enmanuel
88,Eric Haase\haaseer01,25.258,Sep 2,,/2HD,CLE,-0.5,5-10,210,R,R,Dec 18 1992,Detroit MI US,Drafted by the Cleveland Indians in the 7th round of the 2011 amateur draft. Player signed August 13 2011.,,Divine Child HS (Dearborn MI),Eric Michael
89,Matt Hall\hallma02,25.054,Sep 15,,/1,DET,-1.0,6-0,200,L,L,Jul 23 1993,Independence MO US,Drafted by the Detroit Tigers in the 6th round of the 2015 amateur draft. Player signed June 17 2015.,Missouri State University (Springfield MO),Lee's Summit West HS (Lee's Summit MO),Matthew Thomas
90,Ian Hamilton\hamilia01,23.076,Aug 31,Sep 25 2018,1,CHW,-0.1,6-0,200,R,R,Jun 16 1995,Dover NH US,Drafted by the Chicago White Sox in the 11th round of the 2016 amateur draft. Player signed June 13 2016.,Washington State University (Pullman WA),Skyview HS (Vancouver WA),Ian Francis
91,Garrett Hampson\hampsga01,23.284,Jul 21,,H/648,COL,0.5,5-11,188,R,R,Oct 10 1994,Reno NV US,Drafted by the Colorado Rockies in the 3rd round of the 2016 amateur draft. Player signed June 15 2016.,California State University Long Beach (Long Beach CA),Reno HS (Reno NV),Garrett Reese
92,Justin Hancock\hancoju01,27.193,May 9,Jun 25 2018,1,CHC,0.3,6-4,185,R,R,Oct 28 1990,Defiance OH US,Drafted by the San Diego Padres in the 9th round of the 2011 amateur draft. Player signed June 11 2011.,Lincoln Trail College (Robinson IL),Defiance HS (Defiance OH),Justin D.
93,Eric Hanhold\hanhoer01,24.307,Sep 4,Sep 9 2018,/1,NYM,-0.1,6-5,220,R,R,Nov 1 1993,Bartlett TN US,Drafted by the Milwaukee Brewers in the 6th round of the 2015 amateur draft. Player signed July 1 2015.,University of Florida (Gainesville FL),East Lake HS (Tarpon Springs FL),Eric Dru
94,Michael Hermosillo\hermomi01,23.121,May 18,,89/7H,LAA,0.0,6-0,205,R,R,Jan 17 1995,Mesa AZ US,Drafted by the Los Angeles Angels of Anaheim in the 28th round of the 2013 amateur draft. Player signed June 10 2013.,,Ottawa HS (Ottawa IL),Michael
95,Elieser Hernandez\hernael01,23.007,May 10,,1,MIA,-0.4,6-0,210,R,R,May 3 1995,Ocumare del Tuy Miranda VE,Signed by the Houston Astros as an amateur free agent in 2011.,,,Elieser Alexis
96,Rosell Herrera\herrero02,25.192,Apr 26,,/H74,CIN,-0.3,6-3,195,B,R,Oct 16 1992,Santo Domingo Distrito Nacional DO,Signed by the Colorado Rockies as an amateur free agent in 2009.,,,Rosell Amado
97,David Hess\hessda01,24.306,May 12,,1,BAL,-0.2,6-1,215,R,R,Jul 10 1993,Pembroke Pines FL US,Drafted by the Baltimore Orioles in the 5th round of the 2014 amateur draft. Player signed June 12 2014.,Tennessee Technological University (Cookeville TN),Tullahoma HS (Tullahoma TN),David James
98,Jordan Hicks\hicksjo03,21.204,Mar 29,,1,STL,1.1,6-2,220,R,R,Sep 6 1996,Houston TX US,Drafted by the St. Louis Cardinals in the 3rd round of the 2015 amateur draft. Player signed June 15 2015.,,Cypress Creek HS (Houston TX),Jordan McKinley
99,Tim Hill\hillti01,28.047,Mar 29,,1,KCR,0.5,6-2,200,R,L,Feb 10 1990,Mission Hills CA US,Drafted by the Kansas City Royals in the 32nd round of the 2014 amateur draft. Player signed June 10 2014.,Bacone College (Muskogee OK) Palomar College (San Marcos CA),Granada Hills HS (Granada Hills CA),Timothy
100,Yoshihisa Hirano\hiranyo01,34.021,Mar 29,,1,ARI,0.6,6-1,185,R,R,Mar 8 1984,Uji Kyoto JP,Signed as a Free Agent with the Arizona Diamondbacks in 2017.,Kyoto Sangyo University (Japan),Toba HS (Japan),Yoshihisa
