Rk,Name,Age,Debut,Last Game,Pos,Tm,WAR,Ht,Wt,B,T,Birthdate,Birthplace,Draft/Signing,Schools,High School,Given Name
65,Ryan Eades\eadesry01,27.175,Jun 8,,/1,MIN,0.4,6-2,210,R,R,Dec 15 1991,Slidell LA US,Drafted by the Minnesota Twins in the 2nd round of the 2013 amateur draft. Player signed June 27 2013.,Louisiana State University (Baton Rouge LA),Northshore HS (Slidell LA),Ryan Nelson
66,Tommy Edman\edmanto01,24.030,Jun 8,,54H9/87,STL,3.9,5-10,180,B,R,May 9 1995,San Diego CA US,Drafted by the St. Louis Cardinals in the 6th round of the 2016 amateur draft. Player signed June 15 2016.,Stanford University (Palo Alto CA),La Jolla Country Day School (La Jolla CA),Thomas Hyunsu
67,Chris Ellis\ellisch01,26.190,Mar 31,,/1,KCR,0.0,6-5,205,L,R,Sep 22 1992,Birmingham AL US,Drafted by the Los Angeles Angels of Anaheim in the 3rd round of the 2014 amateur draft. Player signed June 28 2014.,University of Mississippi (Oxford MS),Spain Park HS (Hoover AL),Christopher John
68,Luis Escobar\escoblu01,23.044,Jul 13,,/1,PIT,-0.1,6-1,205,R,R,May 30 1996,Cartagena Bolivar CO,Signed by the Pittsburgh Pirates as an amateur free agent in 2013.,,,Luis Alberto
69,Tom Eshelman\eshelto01,25.011,Jul 1,,1,BAL,-0.4,6-3,210,R,R,Jun 20 1994,Carlsbad CA US,Drafted by the Houston Astros in the 2nd round of the 2015 amateur draft. Player signed July 1 2015.,California State University Fullerton (Fullerton CA),Carlsbad HS (Carlsbad CA),Thomas Darwin
70,Thairo Estrada\estrath01,23.058,Apr 21,,4H/679D,NYY,0.1,5-10,190,R,R,Feb 22 1996,Bejuma Carabobo VE,Signed by the New York Yankees as an amateur free agent in 2012.,,,Thairo Jose
71,Peter Fairbanks\fairbpe01,25.175,Jun 9,,/1,TEX,-0.7,6-6,219,R,R,Dec 16 1993,St. Louis MO US,Drafted by the Texas Rangers in the 9th round of the 2015 amateur draft. Player signed June 11 2015.,University of Missouri (Columbia MO),,Peter Anderson
72,Junior Fernandez\fernaju01,22.162,Aug 11,,1,STL,-0.2,6-1,215,R,R,Mar 2 1997,Santo Domingo Centro DO,Signed by the St. Louis Cardinals as an amateur free agent in 2014.,,,Junior Fabio
73,Mike Ford\fordmi01,26.288,Apr 18,,3DH/1,NYY,1.0,6-0,225,L,R,Jul 4 1992,Belle Mead NJ US,Signed by the New York Yankees as an amateur free agent in 2013.,Princeton University (Princeton NJ),Hun School HS (Princeton NJ),Michael
74,Jake Fraley\fraleja01,24.088,Aug 21,,8/H9,SEA,-0.9,6-0,195,L,L,May 25 1995,Frederick MD US,Drafted by the Tampa Bay Rays in the 2nd round of the 2016 amateur draft. Player signed June 22 2016.,Louisiana State University (Baton Rouge LA),Caravel Academy (Bear DE),Jake Arnold
75,Ty France\francty01,24.287,Apr 26,,54H/13,SDP,-0.3,6-0,217,R,R,Jul 13 1994,Downey CA US,Drafted by the San Diego Padres in the 34th round of the 2015 amateur draft. Player signed June 13 2015.,San Diego State University (San Diego CA),,Tyler Lawrence
76,Enderson Franco\francen01,26.263,Sep 18,,/1,SFG,0.1,6-2,241,R,R,Dec 29 1992,Anaco Anzoategui VE,Signed by the Houston Astros as an amateur free agent in 2009.,,,Enderson Daniel
77,Josh Fuentes\fuentjo01,26.046,Apr 6,,H3/5,COL,-0.1,6-2,209,R,R,Feb 19 1993,Rancho Santa Margarita CA US,Signed by the Colorado Rockies as an amateur free agent in 2014.,Missouri Baptist University (St. Louis MO) Saddleback College (Mission Viejo CA),,Josh
78,Zac Gallen\galleza01,23.321,Jun 20,,/1,MIA,2.5,6-2,191,R,R,Aug 3 1995,Somerdale NJ US,Drafted by the St. Louis Cardinals in the 3rd round of the 2016 amateur draft. Player signed June 21 2016.,University of North Carolina at Chapel Hill (Chapel Hill NC),,Zachary Peter
79,Bryan Garcia\garcibr01,24.136,Sep 2,,/1,DET,-0.4,6-1,215,R,R,Apr 19 1995,Miami FL US,Drafted by the Detroit Tigers in the 6th round of the 2016 amateur draft. Player signed June 30 2016.,University of Miami (Coral Gables FL),Christopher Columbus HS (Miami FL),Bryan
80,Edgar Garcia\garcied01,22.214,May 6,,1,PHI,-0.1,6-1,205,R,R,Oct 4 1996,Sabana Grande de Palenque San Cristobal DO,Signed by the Philadelphia Phillies as an amateur free agent in 2014.,,,Edgar Ernesto
81,Rico Garcia\garciri01,25.229,Aug 27,,/1,COL,-0.2,5-11,201,R,R,Jan 10 1994,Honolulu HI US,Drafted by the Colorado Rockies in the 30th round of the 2016 amateur draft. Player signed June 14 2016.,Hawaii Pacific University (Honolulu HI),,Joshua Rico
82,Robel Garcia\garciro02,26.097,Jul 3,,4H/7D9,CHC,0.0,6-0,195,B,R,Mar 28 1993,Las Matas de Farfan San Juan DO,Signed by the Cleveland Indians as an amateur free agent in 2010.,,,Robel E.
83,Kyle Garlick\garliky01,27.113,May 19,,H7/9,LAD,0.2,6-1,210,R,R,Jan 26 1992,La Habra CA US,Drafted by the Los Angeles Dodgers in the 28th round of the 2015 amateur draft. Player signed June 15 2015.,California State Polytechnic University Pomona (Pomona CA) University of Oregon (Eugene OR),,Kyle Bruce
84,Reed Garrett\garrere01,26.086,Mar 29,,1,DET,-0.2,6-2,210,R,R,Jan 2 1993,Henrico VA US,Drafted by the Texas Rangers in the 16th round of the 2014 amateur draft. Player signed June 13 2014.,Virginia Military Institute (Lexington VA),,Reed
85,Ian Gibaut\gibauia01,25.235,Jul 12,,/1,TBR,0.2,6-3,250,R,R,Nov 19 1993,Houston TX US,Drafted by the Tampa Bay Rays in the 11th round of the 2015 amateur draft. Player signed June 12 2015.,Tulane University (New Orleans LA),,Ian Philip
86,Kevin Ginkel\ginkeke01,25.134,Aug 5,,1,ARI,0.7,6-4,235,L,R,Mar 24 1994,San Diego CA US,Drafted by the Arizona Diamondbacks in the 22nd round of the 2016 amateur draft. Player signed July 7 2016.,Southwestern College (Chula Vista CA) University of Arizona (Tucson AZ),,Kevin Andrew
87,Tony Gonsolin\gonsoto01,25.043,Jun 26,,1,LAD,0.8,6-3,205,R,R,May 14 1994,Vacaville CA US,Drafted by the Los Angeles Dodgers in the 9th round of the 2016 amateur draft. Player signed June 15 2016.,Saint Mary's College of California (Moraga CA),,Anthony D.
88,Brusdar Graterol\gratebr01,21.006,Sep 1,,1,MIN,0.0,6-1,265,R,R,Aug 26 1998,Calabozo Guarico VE,Signed by the Minnesota Twins as an amateur free agent in 2014.,,,Brusdar Javier
89,Zach Green\greenza01,25.136,Jul 21,,/5H,SFG,-0.1,6-3,224,R,R,Mar 7 1994,Carmichael CA US,Drafted by the Philadelphia Phillies in the 3rd round of the 2012 amateur draft. Player signed June 21 2012.,,Jesuit HS (Sacramento CA),Zachary
90,Trent Grisham\grishtr01,22.273,Aug 1,,879H,MIL,0.6,6-0,224,L,L,Nov 1 1996,Burleson TX US,Drafted by the Milwaukee Brewers in the 1st round (15th pick) of the 2015 amateur draft. Player signed June 15 2015.,,Richland HS (North Richland Hills TX),Trenton Marcus
91,Zac Grotz\grotzza01,26.166,Aug 2,,1,SEA,0.2,6-2,195,R,R,Feb 17 1993,San Mateo CA US,Drafted by the Houston Astros in the 28th round of the 2015 amateur draft. Player signed June 12 2015.,Embry-Riddle Aeronautical University (Daytona Beach FL) University of Tennessee (Knoxville TN),Burlingame HS (Burlingame CA),Zac
92,Deivy Grullon\grullde01,23.217,Sep 22,,/2HD,PHI,-0.2,6-1,240,R,R,Feb 17 1996,Bonao Monsenor Nouel DO,Signed by the Philadelphia Phillies as an amateur free agent in 2012.,,,Deivy Wilfin
93,Vladimir Guerrero Jr.\guerrvl02,20.041,Apr 26,,5D/H,TOR,1.5,6-2,250,R,R,Mar 16 1999,Montreal QC CA,Signed by the Toronto Blue Jays as an amateur free agent in 2015.,,,Vladimir
94,Taylor Guilbeau\guilbta01,26.097,Aug 17,,1,SEA,0.2,6-4,180,L,L,May 12 1993,Baton Rouge LA US,Drafted by the Washington Nationals in the 10th round of the 2015 amateur draft. Player signed June 10 2015.,University of Alabama (Tuscaloosa AL),Zachary HS (Zachary LA),Taylor Michael
95,Kelvin Gutierrez\gutieke01,24.242,Apr 27,,5/D,KCR,0.4,6-3,215,R,R,Aug 28 1994,San Francisco de Macoris DO,Signed by the Washington Nationals as an amateur free agent in 2013.,,,Kelvin Manuel
96,Sam Haggerty\haggesa01,25.101,Sep 4,,H/49,NYM,-0.1,5-11,175,B,R,May 26 1994,Phoenix AZ US,Drafted by the Cleveland Indians in the 24th round of the 2015 amateur draft. Player signed June 16 2015.,University of New Mexico (Albuquerque NM),,Samuel Onofrio
97,J.D. Hammer\hammejd01,24.318,May 26,,1,PHI,0.3,6-3,215,R,R,Jul 12 1994,Fort Collins CO US,Drafted by the Colorado Rockies in the 24th round of the 2016 amateur draft. Player signed June 14 2014.,Marshall University (Huntington WV),,John Dale
98,Ryne Harper\harpery01,30.004,Mar 31,,1,MIN,0.6,6-3,215,R,R,Mar 27 1989,Nashville TN US,Drafted by the Atlanta Braves in the 37th round of the 2011 amateur draft. Player signed June 9 2011.,Austin Peay State University (Clarksville TN),Clarksville HS (Clarksville TN),Ryne Richard
99,Geoff Hartlieb\hartlge01,25.160,May 18,,1,PIT,-0.8,6-5,235,R,R,Dec 9 1993,Highland IL US,Drafted by the Pittsburgh Pirates in the 29th round of the 2016 amateur draft. Player signed June 17 2016.,Lindenwood University (St. Charles MO),,Geoffery Thomas
100,Hunter Harvey\harvehu01,24.251,Aug 17,,/1,BAL,0.3,6-3,210,R,R,Dec 9 1994,Catawba NC US,Drafted by the Baltimore Orioles in the 1st round (22nd pick) of the 2013 amateur draft. Player signed June 25 2013.,,Bandys HS (Catawba NC),Hunter Luke
101,Joe Harvey\harvejo01,27.091,Apr 10,,/1,NYY,0.1,6-2,235,R,R,Jan 9 1992,Audobon PA US,Drafted by the New York Yankees in the 19th round of the 2014 amateur draft. Player signed June 11 2014.,University of Pittsburgh (Pittsburgh PA),Kennedy-Kenrick Catholic HS (Norristown PA),Joseph Robert
102,Adam Haseley\haselad01,23.053,Jun 4,,879/H,PHI,1.8,6-1,195,L,L,Apr 12 1996,Orlando FL US,Drafted by the Philadelphia Phillies in the 1st round (8th pick) of the 2017 amateur draft. Player signed June 23 2017.,University of Virginia (Charlottesville VA),The First Academy (Orlando FL),Adam Donald
